  card           ,code       ,rgb             ,hex    ,name                  ,domain        
  SP_110-colors  ,2R15 SP    ,"rgb(81,66,57)   ",#514239,                      ,fashion-design
  SP_110-colors  ,3R15 SP    ,"rgb(83,67,58)   ",#53433A,                      ,fashion-design
  SP_110-colors  ,1R15 SP    ,"rgb(84,67,56)   ",#544338,                      ,fashion-design
  SP_110-colors  ,4R15 SP    ,"rgb(84,66,57)   ",#544239,                      ,fashion-design
  SP_110-colors  ,1R14 SP    ,"rgb(100,75,60)  ",#644B3C,                      ,fashion-design
  SP_110-colors  ,2R14 SP    ,"rgb(99,75,63)   ",#634B3F,                      ,fashion-design
  SP_110-colors  ,4R14 SP    ,"rgb(99,72,62)   ",#63483E,                      ,fashion-design
  SP_110-colors  ,1Y14 SP    ,"rgb(101,77,62)  ",#654D3E,                      ,fashion-design
  SP_110-colors  ,3R14 SP    ,"rgb(102,76,65)  ",#664C41,                      ,fashion-design
  SP_110-colors  ,2R13 SP    ,"rgb(120,84,68)  ",#785444,                      ,fashion-design
  SP_110-colors  ,3R13 SP    ,"rgb(119,84,69)  ",#775445,                      ,fashion-design
  SP_110-colors  ,1R13 SP    ,"rgb(119,86,66)  ",#775642,                      ,fashion-design
  SP_110-colors  ,1Y13 SP    ,"rgb(119,87,65)  ",#775741,                      ,fashion-design
  SP_110-colors  ,2Y13 SP    ,"rgb(121,89,69)  ",#795945,                      ,fashion-design
  SP_110-colors  ,3Y12 SP    ,"rgb(132,99,73)  ",#846349,                      ,fashion-design
  SP_110-colors  ,1R12 SP    ,"rgb(134,96,72)  ",#866048,                      ,fashion-design
  SP_110-colors  ,1Y12 SP    ,"rgb(135,98,73)  ",#876249,                      ,fashion-design
  SP_110-colors  ,3R12 SP    ,"rgb(137,95,77)  ",#895F4D,                      ,fashion-design
  SP_110-colors  ,2Y12 SP    ,"rgb(137,99,76)  ",#89634C,                      ,fashion-design
  SP_110-colors  ,2R12 SP    ,"rgb(140,98,78)  ",#8C624E,                      ,fashion-design
  SP_110-colors  ,3Y11 SP    ,"rgb(144,111,84) ",#906F54,                      ,fashion-design
  SP_110-colors  ,4Y11 SP    ,"rgb(143,112,84) ",#8F7054,                      ,fashion-design
  SP_110-colors  ,1Y11 SP    ,"rgb(148,108,81) ",#946C51,                      ,fashion-design
  SP_110-colors  ,1R11 SP    ,"rgb(151,108,82) ",#976C52,                      ,fashion-design
  SP_110-colors  ,2Y11 SP    ,"rgb(152,111,84) ",#986F54,                      ,fashion-design
  SP_110-colors  ,4Y10 SP    ,"rgb(153,121,93) ",#99795D,                      ,fashion-design
  SP_110-colors  ,2R11 SP    ,"rgb(154,107,84) ",#9A6B54,                      ,fashion-design
  SP_110-colors  ,3R11 SP    ,"rgb(153,106,88) ",#996A58,                      ,fashion-design
  SP_110-colors  ,3Y10 SP    ,"rgb(155,119,93) ",#9B775D,                      ,fashion-design
  SP_110-colors  ,1R10 SP    ,"rgb(162,120,93) ",#A2785D,                      ,fashion-design
  SP_110-colors  ,1Y10 SP    ,"rgb(160,118,90) ",#A0765A,                      ,fashion-design
  SP_110-colors  ,2Y10 SP    ,"rgb(160,121,95) ",#A0795F,                      ,fashion-design
  SP_110-colors  ,3Y09 SP    ,"rgb(166,130,102)",#A68266,                      ,fashion-design
  SP_110-colors  ,4Y09 SP    ,"rgb(165,129,99) ",#A58163,                      ,fashion-design
  SP_110-colors  ,5Y09 SP    ,"rgb(163,130,100)",#A38264,                      ,fashion-design
  SP_110-colors  ,2R10 SP    ,"rgb(165,117,95) ",#A5755F,                      ,fashion-design
  SP_110-colors  ,3R10 SP    ,"rgb(165,116,97) ",#A57461,                      ,fashion-design
  SP_110-colors  ,1Y09 SP    ,"rgb(168,127,100)",#A87F64,                      ,fashion-design
