  card           ,code            ,rgb             ,hex    ,name              ,domain        
  PQ_4967-colors ,PQ-19-3909TCX   ,"rgb(46,39,42)   ",#2E272A,Black Bean        ,product-design
  PQ_4967-colors ,PQ-19-3911TCX   ,"rgb(38,38,42)   ",#26262A,Black Beauty      ,product-design
  PQ_4967-colors ,PQ-19-3922TCX   ,"rgb(38,41,52)   ",#262934,Sky Captain       ,product-design
  PQ_4967-colors ,PQ-19-4003TCX   ,"rgb(43,39,43)   ",#2B272B,Black Onyx        ,product-design
  PQ_4967-colors ,PQ-19-4004TCX   ,"rgb(42,43,45)   ",#2A2B2D,Tap Shoe          ,product-design
  PQ_4967-colors ,PQ-19-4006TCX   ,"rgb(41,42,45)   ",#292A2D,Caviar            ,product-design
  PQ_4967-colors ,PQ-19-4007TCX   ,"rgb(40,40,45)   ",#28282D,Anthracite        ,product-design
  PQ_4967-colors ,PQ-19-4008TCX   ,"rgb(43,41,41)   ",#2B2929,Meteorite         ,product-design
  PQ_4967-colors ,PQ-19-5350TCX   ,"rgb(35,49,45)   ",#23312D,Scarab            ,product-design
  PQ_4967-colors ,PQ-19-5708TCX   ,"rgb(38,44,42)   ",#262C2A,Jet Set           ,product-design
  PQ_4967-colors ,PQ-276C         ,"rgb(34,28,53)   ",#221C35,                  ,product-design
  PQ_4967-colors ,PQ-296C         ,"rgb(4,28,44)    ",#041C2C,                  ,product-design
  PQ_4967-colors ,PQ-303C         ,"rgb(0,42,58)    ",#002A3A,                  ,product-design
  PQ_4967-colors ,PQ-419C         ,"rgb(33,35,34)   ",#212322,                  ,product-design
  PQ_4967-colors ,PQ-426C         ,"rgb(37,40,42)   ",#25282A,                  ,product-design
  PQ_4967-colors ,PQ-433C         ,"rgb(29,37,45)   ",#1D252D,                  ,product-design
  PQ_4967-colors ,PQ-5255C        ,"rgb(30,26,52)   ",#1E1A34,                  ,product-design
  PQ_4967-colors ,PQ-532C         ,"rgb(28,31,42)   ",#1C1F2A,                  ,product-design
  PQ_4967-colors ,PQ-5395C        ,"rgb(8,31,44)    ",#081F2C,                  ,product-design
  PQ_4967-colors ,PQ-539C         ,"rgb(0,38,58)    ",#00263A,                  ,product-design
  PQ_4967-colors ,PQ-5463C        ,"rgb(7,39,45)    ",#07272D,                  ,product-design
  PQ_4967-colors ,PQ-5467C        ,"rgb(24,51,47)   ",#18332F,                  ,product-design
  PQ_4967-colors ,PQ-546C         ,"rgb(7,43,49)    ",#072B31,                  ,product-design
  PQ_4967-colors ,PQ-547C         ,"rgb(0,49,60)    ",#00313C,                  ,product-design
