  code       ,rgb             ,hex    ,name             
  18-4250 TPG,"rgb(0,111,175)  ",#006FAF,Indigo Bunting   
  18-4247 TPG,"rgb(0,120,186)  ",#0078BA,Brilliant Blue   
  18-4537 TPG,"rgb(0,124,173)  ",#007CAD,Methyl Blue      
  18-4430 TPG,"rgb(0,116,147)  ",#007493,Fjord Blue       
  18-3946 TPG,"rgb(90,105,175) ",#5A69AF,Baja Blue        
  16-4033 TPG,"rgb(101,133,193)",#6585C1,Granada Sky      
  14-0156 TPG,"rgb(121,211,129)",#79D381,SUMMER Green
  17-4032 TPG,"rgb(99,141,183) ",#638DB7,Lichen Blue      
  15-4428 TPG,"rgb(96,177,211) ",#60B1D3,Crystal Seas     
  16-4612 TPG,"rgb(108,158,170)",#6C9EAA,Reef Waters      
  15-4712 TPG,"rgb(111,172,182)",#6FACB6,Marine Blue      
  13-5714 TPG,"rgb(136,220,190)",#88DCBE,Cabbage          
  17-4015 TPG,"rgb(107,125,152)",#6B7D98,Infinity         
  17-6212 TPG,"rgb(110,127,113)",#6E7F71,Sea Spray        
  16-4020 TPG,"rgb(120,153,200)",#7899C8,Della Robbia Blue
  17-0210 TPG,"rgb(117,142,119)",#758E77,Loden Frost      
  17-4412 TPG,"rgb(106,139,149)",#6A8B95,Smoke Blue       
  16-4021 TPG,"rgb(113,141,177)",#718DB1,Allure           
  16-4610 TPG,"rgb(109,162,175)",#6DA2AF,Stillwater       
  15-4415 TPG,"rgb(116,169,189)",#74A9BD,Milky Blue       
  14-5713 TPG,"rgb(119,190,177)",#77BEB1,Cascade          
  14-4812 TPG,"rgb(133,208,209)",#85D0D1,Aqua Splash      
  18-3712 TPG,"rgb(117,108,127)",#756C7F,Purple Sage      
  17-3918 TPG,"rgb(112,126,155)",#707E9B,Country Blue     
  16-5810 TPG,"rgb(122,142,129)",#7A8E81,Green Bay        
  17-5107 TPG,"rgb(119,138,134)",#778A86,Chinois Green    
  17-4408 TPG,"rgb(119,137,143)",#77898F,Lead             
  14-6324 TPG,"rgb(127,177,133)",#7FB185,Peapod           
  15-6322 TPG,"rgb(125,178,137)",#7DB289,Light Grass Green
  14-5413 TPG,"rgb(123,194,179)",#7BC2B3,Holiday          
  14-4615 TPG,"rgb(131,196,207)",#83C4CF,Antigua Sand     
  14-4814 TPG,"rgb(131,198,207)",#83C6CF,Angel Blue       
  18-0617 TPG,"rgb(127,120,101)",#7F7865,Covert Green     
  18-1110 TPG,"rgb(128,121,108)",#80796C,Brindle          
  17-3929 TPG,"rgb(139,150,201)",#8B96C9,Pale Iris        
  17-0627 TPG,"rgb(132,129,99) ",#848163,Dried Herb       
  18-4105 TPG,"rgb(124,128,123)",#7C807B,Moon Mist        
  16-5807 TPG,"rgb(126,143,132)",#7E8F84,Lily Pad         
  16-6216 TPG,"rgb(130,158,134)",#829E86,Basil            
  16-5907 TPG,"rgb(132,162,149)",#84A295,Granite Green    
  15-5207 TPG,"rgb(131,171,173)",#83ABAD,Aquifer          
  15-5209 TPG,"rgb(132,183,187)",#84B7BB,Aqua Haze        
  18-1137 TPG,"rgb(134,99,81)  ",#866351,Rawhide          
  18-1320 TPG,"rgb(134,100,89) ",#866459,Clove            
  18-2109 TPG,"rgb(138,111,121)",#8A6F79,Grape Shake      
  17-1118 TPG,"rgb(133,120,96) ",#857860,Lead Gray        
  17-1019 TPG,"rgb(136,126,101)",#887E65,Elmwood          
  17-1310 TPG,"rgb(139,129,112)",#8B8170,Timber Wolf      
  17-0207 TPG,"rgb(140,141,130)",#8C8D82,Rock Ridge       
  17-1501 TPG,"rgb(139,141,141)",#8B8D8D,Wild Dove        
  17-4402 TPG,"rgb(137,143,141)",#898F8D,Neutral Gray     
  17-3925 TPG,"rgb(139,141,178)",#8B8DB2,Persian Violet   
  16-4706 TPG,"rgb(137,153,155)",#89999B,Silver Blue      
  16-5808 TPG,"rgb(137,156,146)",#899C92,Iceberg Green    
  15-6423 TPG,"rgb(143,172,127)",#8FAC7F,Forest Shade     
  14-4512 TPG,"rgb(144,192,204)",#90C0CC,Porcelain Blue   
  15-6114 TPG,"rgb(150,193,164)",#96C1A4,Hemlock          
  14-0226 TPG,"rgb(162,197,131)",#A2C583,Opaline Green    
  14-0123 TPG,"rgb(157,198,143)",#9DC68F,Arcadian Green   
  19-2041 TPG,"rgb(155,52,86)  ",#9B3456,Cherries Jubilee 
  18-1030 TPG,"rgb(145,112,90) ",#91705A,Thrush           
  17-0808 TPG,"rgb(136,123,110)",#887B6E,Taupe Gray       
  17-1212 TPG,"rgb(141,129,119)",#8D8177,Fungi            
  17-1009 TPG,"rgb(150,140,122)",#968C7A,Dune             
  17-2601 TPG,"rgb(145,137,140)",#91898C,Zinc             
  17-3906 TPG,"rgb(145,142,155)",#918E9B,Minimal Gray     
  16-4404 TPG,"rgb(139,157,158)",#8B9D9E,Abyss            
  16-3919 TPG,"rgb(144,155,181)",#909BB5,Eventide         
  16-3930 TPG,"rgb(149,154,192)",#959AC0,Thistle Down     
  16-5904 TPG,"rgb(148,160,155)",#94A09B,Wrought Iron     
  15-4008 TPG,"rgb(151,171,189)",#97ABBD,Blue Fog         
  14-6316 TPG,"rgb(156,191,157)",#9CBF9D,Sprucestone      
  14-4508 TPG,"rgb(154,191,203)",#9ABFCB,Stratosphere     
  14-4510 TPG,"rgb(151,192,204)",#97C0CC,Aquatic          
  14-4810 TPG,"rgb(154,193,199)",#9AC1C7,Canal Blue       
  13-5309 TPG,"rgb(149,197,198)",#95C5C6,Pastel Turquoise 
  13-0550 TPG,"rgb(191,214,65) ",#BFD641,Lime Punch       
  15-6317 TPG,"rgb(159,192,154)",#9FC09A,Quiet Green      
  13-5409 TPG,"rgb(158,217,204)",#9ED9CC,Yucca            
  13-4411 TPG,"rgb(160,201,219)",#A0C9DB,Crystal Blue     
  12-0225 TPG,"rgb(176,231,175)",#B0E7AF,Patina Green     
  18-1336 TPG,"rgb(151,100,89) ",#976459,Copper Brown     
  17-1510 TPG,"rgb(146,122,119)",#927A77,Antler           
  17-3313 TPG,"rgb(157,120,154)",#9D789A,Dusty Lavender   
  17-3410 TPG,"rgb(157,120,148)",#9D7894,Valerian         
  17-1319 TPG,"rgb(155,133,113)",#9B8571,Amphora          
  17-2411 TPG,"rgb(153,129,137)",#998189,Toadstool        
