  code       ,rgb             ,hex    ,name             
  19-4049 TPX,"rgb(0,77,140)   ",#004D8C,Snorkel Blue     
  19-4050 TPX,"rgb(22,77,143)  ",#164D8F,Nautical Blue    
  18-3949 TPX,"rgb(46,77,167)  ",#2E4DA7,Dazzling Blue    
  19-4044 TPX,"rgb(44,69,120)  ",#2C4578,Limoges          
  19-4245 TPX,"rgb(0,89,154)   ",#00599A,Imperial Blue    
  19-5414 TPX,"rgb(28,71,70)   ",#1C4746,June Bug         
  18-4535 TPX,"rgb(0,130,181)  ",#0082B5,Blue Jewel       
  19-4914 TPX,"rgb(23,73,80)   ",#174950,Deep Teal        
  19-6311 TPX,"rgb(44,76,50)   ",#2C4C32,Greener Pastures 
  19-4922 TPX,"rgb(0,100,101)  ",#006465,Teal Green       
  18-5619 TPX,"rgb(0,107,100)  ",#006B64,Tidepool         
  17-4433 TPX,"rgb(0,138,194)  ",#008AC2,Dresden Blue     
  19-4329 TPX,"rgb(17,90,111)  ",#115A6F,Corsair          
  17-4540 TPX,"rgb(0,149,198)  ",#0095C6,Hawaiian Ocean   
  18-4726 TPX,"rgb(0,119,132)  ",#007784,Biscay Bay       
  17-6030 TPX,"rgb(0,135,79)   ",#00874F,Jelly Bean       
  16-5932 TPX,"rgb(0,161,118)  ",#00A176,Holly Green      
  16-5421 TPX,"rgb(0,160,134)  ",#00A086,Sea Green        
  16-4529 TPX,"rgb(0,166,203)  ",#00A6CB,Cyan Blue        
  16-6138 TPX,"rgb(25,157,92)  ",#199D5C,Kelly Green      
  16-6240 TPX,"rgb(31,181,102) ",#1FB566,Island Green     
  16-5825 TPX,"rgb(51,173,138) ",#33AD8A,Gumdrop Green    
  15-4825 TPX,"rgb(42,189,199) ",#2ABDC7,Blue Curacao     
  15-4720 TPX,"rgb(59,179,208) ",#3BB3D0,River Blue       
  14-5721 TPX,"rgb(51,195,166) ",#33C3A6,Electric Green   
  19-3921 TPX,"rgb(38,49,69)   ",#263145,Black Iris       
  19-4024 TPX,"rgb(39,51,71)   ",#273347,Dress Blues      
  18-5725 TPX,"rgb(23,96,84)   ",#176054,Galapagos Green  
  17-4139 TPX,"rgb(69,138,198) ",#458AC6,Azure Blue       
  16-5123 TPX,"rgb(26,154,157) ",#1A9A9D,Baltic           
  16-4427 TPX,"rgb(40,163,196) ",#28A3C4,Horizon Blue     
  14-4522 TPX,"rgb(67,188,216) ",#43BCD8,Bachelor Button  
  16-6339 TPX,"rgb(85,170,89)  ",#55AA59,Vibrant Green    
  15-5516 TPX,"rgb(65,180,166) ",#41B4A6,Waterfall        
  18-3840 TPX,"rgb(100,89,162) ",#6459A2,Purple Opulence  
  19-3810 TPX,"rgb(45,46,73)   ",#2D2E49,Eclipse          
  19-3830 TPX,"rgb(45,44,77)   ",#2D2C4D,Astral Aura      
  19-4305 TPX,"rgb(47,52,53)   ",#2F3435,Pirate Black     
  19-5917 TPX,"rgb(42,66,57)   ",#2A4239,Sycamore         
  19-0417 TPX,"rgb(53,66,48)   ",#354230,Kombu Green      
  19-5408 TPX,"rgb(44,80,74)   ",#2C504A,Bistro Green     
  19-4826 TPX,"rgb(38,95,108)  ",#265F6C,Dragonfly        
  19-5413 TPX,"rgb(45,92,90)   ",#2D5C5A,Jasper           
  19-4127 TPX,"rgb(49,93,120)  ",#315D78,Midnight         
  17-5117 TPX,"rgb(49,130,132) ",#318284,Green-Blue Slate 
  15-5718 TPX,"rgb(71,198,163) ",#47C6A3,Biscay Green     
  15-5416 TPX,"rgb(72,193,170) ",#48C1AA,Florida Keys     
  19-1101 TPX,"rgb(53,48,48)   ",#353030,After Dark       
  19-1102 TPX,"rgb(52,49,50)   ",#343132,Licorice         
  19-4205 TPX,"rgb(52,55,59)   ",#34373B,Phantom          
  18-5913 TPX,"rgb(51,78,69)   ",#334E45,Garden Topiary   
  17-4037 TPX,"rgb(90,124,194) ",#5A7CC2,Ultramarine      
  19-0915 TPX,"rgb(60,50,48)   ",#3C3230,Coffee Bean      
  18-4029 TPX,"rgb(55,93,138)  ",#375D8A,Federal Blue     
  19-4039 TPX,"rgb(58,91,141)  ",#3A5B8D,Delft            
  18-6018 TPX,"rgb(59,113,91)  ",#3B715B,Foliage Green    
  17-4421 TPX,"rgb(53,123,145) ",#357B91,Larkspur         
  14-5416 TPX,"rgb(86,203,179) ",#56CBB3,Bermuda          
  14-5420 TPX,"rgb(90,208,186) ",#5AD0BA,Cockatoo         
  19-0000 TPX,"rgb(53,54,53)   ",#353635,Raven            
  19-3617 TPX,"rgb(61,50,73)   ",#3D3249,Mysterioso       
  19-3720 TPX,"rgb(63,49,79)   ",#3F314F,Gothic Grape     
  19-0614 TPX,"rgb(65,56,46)   ",#41382E,Wren             
