  code             ,rgb             ,hex    ,name
  100 C            ,"rgb(246,235,97) ",#F6EB61,    
  101 C            ,"rgb(247,234,72) ",#F7EA48,    
  102 C            ,"rgb(252,227,0)  ",#FCE300,    
  103 C            ,"rgb(197,169,0)  ",#C5A900,    
  104 C            ,"rgb(175,152,0)  ",#AF9800,    
  105 C            ,"rgb(137,122,39) ",#897A27,    
  106 C            ,"rgb(249,229,71) ",#F9E547,    
  107 C            ,"rgb(251,225,34) ",#FBE122,    
  108 C            ,"rgb(254,219,0)  ",#FEDB00,    
  109 C            ,"rgb(255,209,0)  ",#FFD100,    
  110 C            ,"rgb(218,170,0)  ",#DAAA00,    
  111 C            ,"rgb(170,138,0)  ",#AA8A00,    
  112 C            ,"rgb(156,132,18) ",#9C8412,    
  113 C            ,"rgb(250,224,83) ",#FAE053,    
  114 C            ,"rgb(251,221,64) ",#FBDD40,    
  115 C            ,"rgb(253,218,36) ",#FDDA24,    
  116 C            ,"rgb(255,205,0)  ",#FFCD00,    
  117 C            ,"rgb(201,151,0)  ",#C99700,    
  118 C            ,"rgb(172,132,0)  ",#AC8400,    
  119 C            ,"rgb(137,115,34) ",#897322,    
  120 C            ,"rgb(251,219,101)",#FBDB65,    
  121 C            ,"rgb(253,215,87) ",#FDD757,    
  122 C            ,"rgb(254,209,65) ",#FED141,    
  123 C            ,"rgb(255,199,44) ",#FFC72C,    
  124 C            ,"rgb(234,170,0)  ",#EAAA00,    
  125 C            ,"rgb(181,133,0)  ",#B58500,    
  126 C            ,"rgb(154,118,17) ",#9A7611,    
  127 C            ,"rgb(243,221,109)",#F3DD6D,    
  128 C            ,"rgb(243,213,78) ",#F3D54E,    
  129 C            ,"rgb(243,208,62) ",#F3D03E,    
  130 C            ,"rgb(242,169,0)  ",#F2A900,    
  131 C            ,"rgb(204,138,0)  ",#CC8A00,    
  132 C            ,"rgb(160,116,0)  ",#A07400,    
  133 C            ,"rgb(108,87,27)  ",#6C571B,    
  134 C            ,"rgb(253,210,110)",#FDD26E,    
  135 C            ,"rgb(255,198,88) ",#FFC658,    
  136 C            ,"rgb(255,191,63) ",#FFBF3F,    
  137 C            ,"rgb(255,163,0)  ",#FFA300,    
  138 C            ,"rgb(222,124,0)  ",#DE7C00,    
  139 C            ,"rgb(175,109,4)  ",#AF6D04,    
  140 C            ,"rgb(116,83,28)  ",#74531C,    
  141 C            ,"rgb(242,199,92) ",#F2C75C,    
  142 C            ,"rgb(241,190,72) ",#F1BE48,    
  143 C            ,"rgb(241,180,52) ",#F1B434,    
  144 C            ,"rgb(237,139,0)  ",#ED8B00,    
  145 C            ,"rgb(207,127,0)  ",#CF7F00,    
  146 C            ,"rgb(167,109,17) ",#A76D11,    
  147 C            ,"rgb(113,92,42)  ",#715C2A,    
  148 C            ,"rgb(254,203,139)",#FECB8B,    
  149 C            ,"rgb(255,194,123)",#FFC27B,    
  150 C            ,"rgb(255,178,91) ",#FFB25B,    
  151 C            ,"rgb(255,130,0)  ",#FF8200,    
  152 C            ,"rgb(229,114,0)  ",#E57200,    
  153 C            ,"rgb(190,106,20) ",#BE6A14,    
  154 C            ,"rgb(155,90,26)  ",#9B5A1A,    
  155 C            ,"rgb(239,209,159)",#EFD19F,    
  156 C            ,"rgb(239,190,125)",#EFBE7D,    
  157 C            ,"rgb(236,161,84) ",#ECA154,    
  158 C            ,"rgb(232,119,34) ",#E87722,    
  159 C            ,"rgb(203,96,21)  ",#CB6015,    
  160 C            ,"rgb(161,86,28)  ",#A1561C,    
  161 C            ,"rgb(96,61,32)   ",#603D20,    
  162 C            ,"rgb(255,190,159)",#FFBE9F,    
  163 C            ,"rgb(255,157,110)",#FF9D6E,    
  164 C            ,"rgb(255,127,65) ",#FF7F41,    
  165 C            ,"rgb(255,103,31) ",#FF671F,    
  166 C            ,"rgb(227,82,5)   ",#E35205,    
  167 C            ,"rgb(190,83,28)  ",#BE531C,    
  168 C            ,"rgb(115,56,29)  ",#73381D,    
  169 C            ,"rgb(255,179,171)",#FFB3AB,    
  170 C            ,"rgb(255,134,116)",#FF8674,    
  171 C            ,"rgb(255,92,57)  ",#FF5C39,    
  172 C            ,"rgb(250,70,22)  ",#FA4616,    
  173 C            ,"rgb(207,69,32)  ",#CF4520,    
  174 C            ,"rgb(150,56,33)  ",#963821,    
  175 C            ,"rgb(107,53,41)  ",#6B3529,    
  176 C            ,"rgb(255,177,187)",#FFB1BB,    
  177 C            ,"rgb(255,128,139)",#FF808B,    
  178 C            ,"rgb(255,88,93)  ",#FF585D,    
  179 C            ,"rgb(224,60,49)  ",#E03C31,    
  180 C            ,"rgb(190,58,52)  ",#BE3A34,    
  181 C            ,"rgb(129,49,47)  ",#81312F,    
  182 C            ,"rgb(250,187,203)",#FABBCB,    
  183 C            ,"rgb(252,155,179)",#FC9BB3,    
  184 C            ,"rgb(246,82,117) ",#F65275,    
  185 C            ,"rgb(228,0,43)   ",#E4002B,    
  186 C            ,"rgb(200,16,46)  ",#C8102E,    
  187 C            ,"rgb(166,25,46)  ",#A6192E,    
  188 C            ,"rgb(118,35,47)  ",#76232F,    
  189 C            ,"rgb(248,163,188)",#F8A3BC,    
  190 C            ,"rgb(246,117,153)",#F67599,    
  191 C            ,"rgb(239,66,111) ",#EF426F,    
  192 C            ,"rgb(228,0,70)   ",#E40046,    
  193 C            ,"rgb(191,13,62)  ",#BF0D3E,    
  194 C            ,"rgb(155,39,67)  ",#9B2743,    
  195 C            ,"rgb(120,47,64)  ",#782F40,    
  196 C            ,"rgb(236,199,205)",#ECC7CD,    
  197 C            ,"rgb(232,156,174)",#E89CAE,    
  198 C            ,"rgb(223,70,97)  ",#DF4661,    
  199 C            ,"rgb(213,0,50)   ",#D50032,    
  200 C            ,"rgb(186,12,47)  ",#BA0C2F,    
  201 C            ,"rgb(157,34,53)  ",#9D2235,    
  202 C            ,"rgb(134,38,51)  ",#862633,    
  203 C            ,"rgb(236,179,203)",#ECB3CB,    
  204 C            ,"rgb(231,130,169)",#E782A9,    
  205 C            ,"rgb(224,69,123) ",#E0457B,    
  206 C            ,"rgb(206,0,55)   ",#CE0037,    
  207 C            ,"rgb(165,0,52)   ",#A50034,    
  208 C            ,"rgb(134,31,65)  ",#861F41,    
  209 C            ,"rgb(111,38,61)  ",#6F263D,    
  210 C            ,"rgb(249,159,201)",#F99FC9,    
  211 C            ,"rgb(245,126,182)",#F57EB6,    
  212 C            ,"rgb(240,78,152) ",#F04E98,    
  213 C            ,"rgb(227,28,121) ",#E31C79,    
  214 C            ,"rgb(206,15,105) ",#CE0F69,    
  215 C            ,"rgb(172,20,90)  ",#AC145A,    
  216 C            ,"rgb(125,34,72)  ",#7D2248,    
  217 C            ,"rgb(234,190,219)",#EABEDB,    
  218 C            ,"rgb(229,109,177)",#E56DB1,    
  219 C            ,"rgb(218,24,132) ",#DA1884,    
  220 C            ,"rgb(165,0,80)   ",#A50050,    
  221 C            ,"rgb(145,0,72)   ",#910048,    
  222 C            ,"rgb(108,29,69)  ",#6C1D45,    
  223 C            ,"rgb(239,149,207)",#EF95CF,    
  224 C            ,"rgb(235,111,189)",#EB6FBD,    
  225 C            ,"rgb(223,25,149) ",#DF1995,    
  226 C            ,"rgb(208,0,111)  ",#D0006F,    
  227 C            ,"rgb(170,0,97)   ",#AA0061,    
  228 C            ,"rgb(137,12,88)  ",#890C58,    
  229 C            ,"rgb(103,33,70)  ",#672146,    
  230 C            ,"rgb(244,166,215)",#F4A6D7,    
  231 C            ,"rgb(242,119,198)",#F277C6,    
  232 C            ,"rgb(233,60,172) ",#E93CAC,    
  233 C            ,"rgb(198,0,126)  ",#C6007E,    
  234 C            ,"rgb(162,0,103)  ",#A20067,    
  235 C            ,"rgb(132,11,85)  ",#840B55,    
  236 C            ,"rgb(241,167,220)",#F1A7DC,    
  237 C            ,"rgb(236,134,208)",#EC86D0,    
  238 C            ,"rgb(228,93,191) ",#E45DBF,    
  239 C            ,"rgb(219,62,177) ",#DB3EB1,    
  240 C            ,"rgb(197,41,155) ",#C5299B,    
  241 C            ,"rgb(175,22,133) ",#AF1685,    
  242 C            ,"rgb(128,34,95)  ",#80225F,    
  243 C            ,"rgb(234,184,228)",#EAB8E4,    
  244 C            ,"rgb(229,155,220)",#E59BDC,    
  245 C            ,"rgb(221,127,211)",#DD7FD3,    
  246 C            ,"rgb(199,36,177) ",#C724B1,    
  247 C            ,"rgb(187,22,163) ",#BB16A3,    
  248 C            ,"rgb(165,24,144) ",#A51890,    
  249 C            ,"rgb(128,39,108) ",#80276C,    
  250 C            ,"rgb(231,186,228)",#E7BAE4,    
  251 C            ,"rgb(221,156,223)",#DD9CDF,    
  252 C            ,"rgb(201,100,207)",#C964CF,    
  253 C            ,"rgb(173,26,172) ",#AD1AAC,    
  254 C            ,"rgb(152,29,151) ",#981D97,    
  255 C            ,"rgb(114,36,108) ",#72246C,    
  256 C            ,"rgb(214,191,221)",#D6BFDD,    
  257 C            ,"rgb(198,161,207)",#C6A1CF,    
  258 C            ,"rgb(140,71,153) ",#8C4799,    
  259 C            ,"rgb(109,32,119) ",#6D2077,    
  260 C            ,"rgb(100,38,103) ",#642667,    
  261 C            ,"rgb(93,40,95)   ",#5D285F,    
  262 C            ,"rgb(81,40,79)   ",#51284F,    
  263 C            ,"rgb(215,198,230)",#D7C6E6,    
  264 C            ,"rgb(193,167,226)",#C1A7E2,    
  265 C            ,"rgb(144,99,205) ",#9063CD,    
  266 C            ,"rgb(117,59,189) ",#753BBD,    
  267 C            ,"rgb(95,37,159)  ",#5F259F,    
  268 C            ,"rgb(88,44,131)  ",#582C83,    
  269 C            ,"rgb(81,45,109)  ",#512D6D,    
  270 C            ,"rgb(180,181,223)",#B4B5DF,    
  271 C            ,"rgb(149,149,210)",#9595D2,    
  272 C            ,"rgb(116,116,193)",#7474C1,    
  273 C            ,"rgb(36,19,95)   ",#24135F,    
  274 C            ,"rgb(33,21,81)   ",#211551,    
  275 C            ,"rgb(32,23,71)   ",#201747,    
  276 C            ,"rgb(34,28,53)   ",#221C35,    
  277 C            ,"rgb(171,202,233)",#ABCAE9,    
  278 C            ,"rgb(139,184,232)",#8BB8E8,    
  279 C            ,"rgb(65,143,222) ",#418FDE,    
  280 C            ,"rgb(1,33,105)   ",#012169,    
  281 C            ,"rgb(0,32,91)    ",#00205B,    
  282 C            ,"rgb(4,30,66)    ",#041E42,    
  283 C            ,"rgb(146,193,233)",#92C1E9,    
  284 C            ,"rgb(108,172,228)",#6CACE4,    
  285 C            ,"rgb(0,114,206)  ",#0072CE,    
  286 C            ,"rgb(0,51,160)   ",#0033A0,    
  287 C            ,"rgb(0,48,135)   ",#003087,    
  288 C            ,"rgb(0,45,114)   ",#002D72,    
  289 C            ,"rgb(12,35,64)   ",#0C2340,    
  290 C            ,"rgb(185,217,235)",#B9D9EB,    
  291 C            ,"rgb(155,203,235)",#9BCBEB,    
  292 C            ,"rgb(105,179,231)",#69B3E7,    
  293 C            ,"rgb(0,61,165)   ",#003DA5,    
  294 C            ,"rgb(0,47,108)   ",#002F6C,    
  295 C            ,"rgb(0,40,85)    ",#002855,    
  296 C            ,"rgb(4,28,44)    ",#041C2C,    
  297 C            ,"rgb(113,197,232)",#71C5E8,    
  298 C            ,"rgb(65,182,230) ",#41B6E6,    
  299 C            ,"rgb(0,163,224)  ",#00A3E0,    
  300 C            ,"rgb(0,94,184)   ",#005EB8,    
  301 C            ,"rgb(0,75,135)   ",#004B87,    
  302 C            ,"rgb(0,59,92)    ",#003B5C,    
  303 C            ,"rgb(0,42,58)    ",#002A3A,    
  304 C            ,"rgb(154,219,232)",#9ADBE8,    
  305 C            ,"rgb(89,203,232) ",#59CBE8,    
  306 C            ,"rgb(0,181,226)  ",#00B5E2,    
  307 C            ,"rgb(0,107,166)  ",#006BA6,    
  308 C            ,"rgb(0,88,124)   ",#00587C,    
  309 C            ,"rgb(0,59,73)    ",#003B49,    
  310 C            ,"rgb(106,209,227)",#6AD1E3,    
  311 C            ,"rgb(5,195,222)  ",#05C3DE,    
  312 C            ,"rgb(0,169,206)  ",#00A9CE,    
  313 C            ,"rgb(0,146,188)  ",#0092BC,    
  314 C            ,"rgb(0,127,163)  ",#007FA3,    
  315 C            ,"rgb(0,103,127)  ",#00677F,    
  316 C            ,"rgb(0,72,81)    ",#004851,    
  317 C            ,"rgb(177,228,227)",#B1E4E3,    
  318 C            ,"rgb(136,219,223)",#88DBDF,    
  319 C            ,"rgb(45,204,211) ",#2DCCD3,    
  320 C            ,"rgb(0,156,166)  ",#009CA6,    
  321 C            ,"rgb(0,140,149)  ",#008C95,    
  322 C            ,"rgb(0,115,119)  ",#007377,    
  323 C            ,"rgb(0,95,97)    ",#005F61,    
  324 C            ,"rgb(156,219,217)",#9CDBD9,    
  325 C            ,"rgb(100,204,201)",#64CCC9,    
  326 C            ,"rgb(0,178,169)  ",#00B2A9,    
  327 C            ,"rgb(0,134,117)  ",#008675,    
  328 C            ,"rgb(0,115,103)  ",#007367,    
  329 C            ,"rgb(0,104,94)   ",#00685E,    
  330 C            ,"rgb(0,83,76)    ",#00534C,    
  331 C            ,"rgb(167,230,215)",#A7E6D7,    
  332 C            ,"rgb(140,226,208)",#8CE2D0,    
  333 C            ,"rgb(60,219,192) ",#3CDBC0,    
  334 C            ,"rgb(0,151,117)  ",#009775,    
  335 C            ,"rgb(0,123,95)   ",#007B5F,    
  336 C            ,"rgb(0,102,79)   ",#00664F,    
  337 C            ,"rgb(143,214,189)",#8FD6BD,    
  338 C            ,"rgb(110,206,178)",#6ECEB2,    
  339 C            ,"rgb(0,179,136)  ",#00B388,    
  340 C            ,"rgb(0,150,94)   ",#00965E,    
  341 C            ,"rgb(0,122,83)   ",#007A53,    
  342 C            ,"rgb(0,103,71)   ",#006747,    
  343 C            ,"rgb(17,87,64)   ",#115740,    
  344 C            ,"rgb(160,218,179)",#A0DAB3,    
  345 C            ,"rgb(145,214,172)",#91D6AC,    
  346 C            ,"rgb(113,204,152)",#71CC98,    
  347 C            ,"rgb(0,154,68)   ",#009A44,    
  348 C            ,"rgb(0,132,61)   ",#00843D,    
  349 C            ,"rgb(4,106,56)   ",#046A38,    
  350 C            ,"rgb(44,82,52)   ",#2C5234,    
  351 C            ,"rgb(162,228,184)",#A2E4B8,    
  352 C            ,"rgb(143,226,176)",#8FE2B0,    
  353 C            ,"rgb(128,224,167)",#80E0A7,    
  354 C            ,"rgb(0,177,64)   ",#00B140,    
  355 C            ,"rgb(0,150,57)   ",#009639,    
  356 C            ,"rgb(0,122,51)   ",#007A33,    
  357 C            ,"rgb(33,87,50)   ",#215732,    
  358 C            ,"rgb(173,220,145)",#ADDC91,    
  359 C            ,"rgb(161,216,132)",#A1D884,    
  360 C            ,"rgb(108,194,74) ",#6CC24A,    
  361 C            ,"rgb(67,176,42)  ",#43B02A,    
  362 C            ,"rgb(80,158,47)  ",#509E2F,    
  363 C            ,"rgb(76,140,43)  ",#4C8C2B,    
  364 C            ,"rgb(74,119,41)  ",#4A7729,    
  365 C            ,"rgb(194,225,137)",#C2E189,    
  366 C            ,"rgb(183,221,121)",#B7DD79,    
  367 C            ,"rgb(164,214,94) ",#A4D65E,    
  368 C            ,"rgb(120,190,32) ",#78BE20,    
  369 C            ,"rgb(100,167,11) ",#64A70B,    
  370 C            ,"rgb(101,141,27) ",#658D1B,    
  371 C            ,"rgb(84,98,35)   ",#546223,    
  372 C            ,"rgb(212,235,142)",#D4EB8E,    
  373 C            ,"rgb(205,234,128)",#CDEA80,    
  374 C            ,"rgb(197,232,108)",#C5E86C,    
  375 C            ,"rgb(151,215,0)  ",#97D700,    
  376 C            ,"rgb(132,189,0)  ",#84BD00,    
  377 C            ,"rgb(122,154,1)  ",#7A9A01,    
  378 C            ,"rgb(89,98,29)   ",#59621D,    
  379 C            ,"rgb(226,232,104)",#E2E868,    
  380 C            ,"rgb(219,228,66) ",#DBE442,    
  381 C            ,"rgb(206,220,0)  ",#CEDC00,    
  382 C            ,"rgb(196,214,0)  ",#C4D600,    
  383 C            ,"rgb(168,173,0)  ",#A8AD00,    
  384 C            ,"rgb(148,147,0)  ",#949300,    
  385 C            ,"rgb(120,113,33) ",#787121,    
  386 C            ,"rgb(233,236,107)",#E9EC6B,    
  387 C            ,"rgb(227,233,53) ",#E3E935,    
  388 C            ,"rgb(224,231,33) ",#E0E721,    
  389 C            ,"rgb(208,223,0)  ",#D0DF00,    
  390 C            ,"rgb(181,189,0)  ",#B5BD00,    
  391 C            ,"rgb(154,149,0)  ",#9A9500,    
  392 C            ,"rgb(130,122,4)  ",#827A04,    
  393 C            ,"rgb(240,236,116)",#F0EC74,    
  394 C            ,"rgb(237,233,57) ",#EDE939,    
  395 C            ,"rgb(236,232,26) ",#ECE81A,    
  396 C            ,"rgb(225,224,0)  ",#E1E000,    
  397 C            ,"rgb(191,184,0)  ",#BFB800,    
  398 C            ,"rgb(173,164,0)  ",#ADA400,    
  399 C            ,"rgb(160,146,0)  ",#A09200,    
  400 C            ,"rgb(196,191,182)",#C4BFB6,    
  401 C            ,"rgb(175,169,160)",#AFA9A0,    
  402 C            ,"rgb(157,150,141)",#9D968D,    
  403 C            ,"rgb(140,133,123)",#8C857B,    
  404 C            ,"rgb(119,110,100)",#776E64,    
  405 C            ,"rgb(105,97,88)  ",#696158,    
  406 C            ,"rgb(196,188,183)",#C4BCB7,    
  407 C            ,"rgb(178,168,162)",#B2A8A2,    
  408 C            ,"rgb(151,140,135)",#978C87,    
  409 C            ,"rgb(133,120,116)",#857874,    
  410 C            ,"rgb(116,102,97) ",#746661,    
  411 C            ,"rgb(94,81,77)   ",#5E514D,    
  412 C            ,"rgb(56,47,45)   ",#382F2D,    
  413 C            ,"rgb(186,187,177)",#BABBB1,    
  414 C            ,"rgb(168,169,158)",#A8A99E,    
  415 C            ,"rgb(145,147,136)",#919388,    
  416 C            ,"rgb(126,127,116)",#7E7F74,    
  417 C            ,"rgb(101,102,92) ",#65665C,    
  418 C            ,"rgb(81,83,74)   ",#51534A,    
  419 C            ,"rgb(33,35,34)   ",#212322,    
  420 C            ,"rgb(199,201,199)",#C7C9C7,    
  421 C            ,"rgb(178,180,178)",#B2B4B2,    
  422 C            ,"rgb(158,162,162)",#9EA2A2,    
  423 C            ,"rgb(137,141,141)",#898D8D,    
  424 C            ,"rgb(112,115,114)",#707372,    
  425 C            ,"rgb(84,88,90)   ",#54585A,    
  426 C            ,"rgb(37,40,42)   ",#25282A,    
  427 C            ,"rgb(208,211,212)",#D0D3D4,    
  428 C            ,"rgb(193,198,200)",#C1C6C8,    
  429 C            ,"rgb(162,170,173)",#A2AAAD,    
  430 C            ,"rgb(124,135,142)",#7C878E,    
  431 C            ,"rgb(91,103,112) ",#5B6770,    
  432 C            ,"rgb(51,63,72)   ",#333F48,    
  433 C            ,"rgb(29,37,45)   ",#1D252D,    
  434 C            ,"rgb(208,196,197)",#D0C4C5,    
  435 C            ,"rgb(193,178,182)",#C1B2B6,    
  436 C            ,"rgb(171,152,157)",#AB989D,    
  437 C            ,"rgb(123,100,105)",#7B6469,    
  438 C            ,"rgb(88,68,70)   ",#584446,    
  439 C            ,"rgb(69,53,54)   ",#453536,    
  440 C            ,"rgb(56,46,44)   ",#382E2C,    
  441 C            ,"rgb(190,198,196)",#BEC6C4,    
  442 C            ,"rgb(162,172,171)",#A2ACAB,    
  443 C            ,"rgb(145,157,157)",#919D9D,    
  444 C            ,"rgb(113,124,125)",#717C7D,    
  445 C            ,"rgb(80,87,89)   ",#505759,    
  446 C            ,"rgb(63,68,68)   ",#3F4444,    
  447 C            ,"rgb(55,58,54)   ",#373A36,    
  448 C            ,"rgb(74,65,42)   ",#4A412A,    
  449 C            ,"rgb(82,71,39)   ",#524727,    
  450 C            ,"rgb(89,74,37)   ",#594A25,    
  451 C            ,"rgb(155,148,95) ",#9B945F,    
  452 C            ,"rgb(176,170,126)",#B0AA7E,    
  453 C            ,"rgb(191,187,152)",#BFBB98,    
  454 C            ,"rgb(202,199,167)",#CAC7A7,    
  455 C            ,"rgb(105,91,36)  ",#695B24,    
  456 C            ,"rgb(162,142,42) ",#A28E2A,    
  457 C            ,"rgb(184,157,24) ",#B89D18,    
  458 C            ,"rgb(217,199,86) ",#D9C756,    
  459 C            ,"rgb(222,205,99) ",#DECD63,    
  460 C            ,"rgb(228,215,126)",#E4D77E,    
  461 C            ,"rgb(233,223,151)",#E9DF97,    
  462 C            ,"rgb(92,70,43)   ",#5C462B,    
  463 C            ,"rgb(116,79,40)  ",#744F28,    
  464 C            ,"rgb(139,91,41)  ",#8B5B29,    
  465 C            ,"rgb(185,151,91) ",#B9975B,    
  466 C            ,"rgb(198,170,118)",#C6AA76,    
  467 C            ,"rgb(211,188,141)",#D3BC8D,    
  468 C            ,"rgb(221,203,164)",#DDCBA4,    
  469 C            ,"rgb(105,63,35)  ",#693F23,    
  470 C            ,"rgb(164,90,42)  ",#A45A2A,    
  471 C            ,"rgb(184,97,37)  ",#B86125,    
  472 C            ,"rgb(229,158,109)",#E59E6D,    
  473 C            ,"rgb(240,191,155)",#F0BF9B,    
  474 C            ,"rgb(241,198,167)",#F1C6A7,    
  475 C            ,"rgb(243,207,179)",#F3CFB3,    
  476 C            ,"rgb(78,54,41)   ",#4E3629,    
  477 C            ,"rgb(98,59,42)   ",#623B2A,    
  478 C            ,"rgb(112,63,42)  ",#703F2A,    
  479 C            ,"rgb(170,128,102)",#AA8066,    
  480 C            ,"rgb(198,169,146)",#C6A992,    
  481 C            ,"rgb(211,187,168)",#D3BBA8,    
  482 C            ,"rgb(219,200,182)",#DBC8B6,    
  483 C            ,"rgb(101,48,36)  ",#653024,    
  484 C            ,"rgb(154,51,36)  ",#9A3324,    
  485 C            ,"rgb(218,41,28)  ",#DA291C,    
  486 C            ,"rgb(232,146,124)",#E8927C,    
  487 C            ,"rgb(234,167,148)",#EAA794,    
  488 C            ,"rgb(236,186,168)",#ECBAA8,    
  489 C            ,"rgb(236,195,178)",#ECC3B2,    
  490 C            ,"rgb(93,42,44)   ",#5D2A2C,    
  491 C            ,"rgb(127,48,53)  ",#7F3035,    
  492 C            ,"rgb(143,50,55)  ",#8F3237,    
  493 C            ,"rgb(220,134,153)",#DC8699,    
  494 C            ,"rgb(233,162,178)",#E9A2B2,    
  495 C            ,"rgb(241,189,200)",#F1BDC8,    
  496 C            ,"rgb(242,198,207)",#F2C6CF,    
  497 C            ,"rgb(81,47,46)   ",#512F2E,    
  498 C            ,"rgb(106,55,53)  ",#6A3735,    
  499 C            ,"rgb(122,62,58)  ",#7A3E3A,    
  500 C            ,"rgb(198,133,143)",#C6858F,    
  501 C            ,"rgb(218,165,173)",#DAA5AD,    
  502 C            ,"rgb(229,186,193)",#E5BAC1,    
  503 C            ,"rgb(233,196,199)",#E9C4C7,    
  504 C            ,"rgb(87,41,50)   ",#572932,    
  505 C            ,"rgb(111,44,63)  ",#6F2C3F,    
  506 C            ,"rgb(132,52,78)  ",#84344E,    
  507 C            ,"rgb(213,146,170)",#D592AA,    
  508 C            ,"rgb(228,169,187)",#E4A9BB,    
  509 C            ,"rgb(232,179,195)",#E8B3C3,    
  510 C            ,"rgb(235,190,203)",#EBBECB,    
  511 C            ,"rgb(97,44,81)   ",#612C51,    
  512 C            ,"rgb(131,49,119) ",#833177,    
  513 C            ,"rgb(147,50,142) ",#93328E,    
  514 C            ,"rgb(212,139,200)",#D48BC8,    
  515 C            ,"rgb(226,172,215)",#E2ACD7,    
  516 C            ,"rgb(230,190,221)",#E6BEDD,    
  517 C            ,"rgb(235,198,223)",#EBC6DF,    
  518 C            ,"rgb(75,48,72)   ",#4B3048,    
  519 C            ,"rgb(89,49,95)   ",#59315F,    
  520 C            ,"rgb(100,47,108) ",#642F6C,    
  521 C            ,"rgb(165,127,178)",#A57FB2,    
  522 C            ,"rgb(186,156,197)",#BA9CC5,    
  523 C            ,"rgb(201,177,208)",#C9B1D0,    
  524 C            ,"rgb(213,194,216)",#D5C2D8,    
  525 C            ,"rgb(87,44,95)   ",#572C5F,    
  526 C            ,"rgb(112,47,138) ",#702F8A,    
  527 C            ,"rgb(128,49,167) ",#8031A7,    
  528 C            ,"rgb(181,128,209)",#B580D1,    
  529 C            ,"rgb(202,162,221)",#CAA2DD,    
  530 C            ,"rgb(215,185,228)",#D7B9E4,    
  531 C            ,"rgb(223,200,231)",#DFC8E7,    
  532 C            ,"rgb(28,31,42)   ",#1C1F2A,    
  533 C            ,"rgb(31,42,68)   ",#1F2A44,    
  534 C            ,"rgb(27,54,93)   ",#1B365D,    
  535 C            ,"rgb(142,159,188)",#8E9FBC,    
  536 C            ,"rgb(162,178,200)",#A2B2C8,    
  537 C            ,"rgb(187,199,214)",#BBC7D6,    
  538 C            ,"rgb(197,207,218)",#C5CFDA,    
  539 C            ,"rgb(0,38,58)    ",#00263A,    
  540 C            ,"rgb(0,48,87)    ",#003057,    
  541 C            ,"rgb(0,60,113)   ",#003C71,    
  542 C            ,"rgb(123,175,212)",#7BAFD4,    
  543 C            ,"rgb(164,200,225)",#A4C8E1,    
  544 C            ,"rgb(189,214,230)",#BDD6E6,    
  545 C            ,"rgb(198,218,231)",#C6DAE7,    
  546 C            ,"rgb(7,43,49)    ",#072B31,    
  547 C            ,"rgb(0,49,60)    ",#00313C,    
  548 C            ,"rgb(0,61,76)    ",#003D4C,    
  549 C            ,"rgb(107,164,184)",#6BA4B8,    
  550 C            ,"rgb(141,185,202)",#8DB9CA,    
  551 C            ,"rgb(163,199,210)",#A3C7D2,    
  552 C            ,"rgb(185,211,220)",#B9D3DC,    
  553 C            ,"rgb(40,71,52)   ",#284734,    
  554 C            ,"rgb(32,92,64)   ",#205C40,    
  555 C            ,"rgb(40,114,79)  ",#28724F,    
  556 C            ,"rgb(111,162,135)",#6FA287,    
  557 C            ,"rgb(133,176,154)",#85B09A,    
  558 C            ,"rgb(154,190,170)",#9ABEAA,    
  559 C            ,"rgb(173,202,184)",#ADCAB8,    
  560 C            ,"rgb(29,60,52)   ",#1D3C34,    
  561 C            ,"rgb(0,89,76)    ",#00594C,    
  562 C            ,"rgb(0,111,98)   ",#006F62,    
  563 C            ,"rgb(107,187,174)",#6BBBAE,    
  564 C            ,"rgb(134,200,188)",#86C8BC,    
  565 C            ,"rgb(161,214,202)",#A1D6CA,    
  566 C            ,"rgb(185,220,210)",#B9DCD2,    
  567 C            ,"rgb(23,63,53)   ",#173F35,    
  568 C            ,"rgb(0,108,91)   ",#006C5B,    
  569 C            ,"rgb(0,129,109)  ",#00816D,    
