  code ,rgb             ,hex    ,name
  801 U,"rgb(0,156,205)  ",#009CCD,    
  802 U,"rgb(59,210,61)  ",#3BD23D,    
  803 U,"rgb(255,233,22) ",#FFE916,    
  804 U,"rgb(255,170,82) ",#FFAA52,    
  805 U,"rgb(255,116,119)",#FF7477,    
  806 U,"rgb(255,72,176) ",#FF48B0,    
  807 U,"rgb(232,56,191) ",#E838BF,    
  808 U,"rgb(0,172,142)  ",#00AC8E,    
  809 U,"rgb(228,232,59) ",#E4E83B,    
  810 U,"rgb(255,211,60) ",#FFD33C,    
  811 U,"rgb(255,135,103)",#FF8767,    
  812 U,"rgb(255,90,147) ",#FF5A93,    
  813 U,"rgb(245,65,183) ",#F541B7,    
  814 U,"rgb(123,94,198) ",#7B5EC6,    
  901 U,"rgb(0,171,218)  ",#00ABDA,    
  902 U,"rgb(135,232,120)",#87E878,    
  903 U,"rgb(255,243,103)",#FFF367,    
  904 U,"rgb(255,201,136)",#FFC988,    
  905 U,"rgb(255,157,165)",#FF9DA5,    
  906 U,"rgb(255,128,212)",#FF80D4,    
  907 U,"rgb(242,113,217)",#F271D9,    
  908 U,"rgb(0,179,223)  ",#00B3DF,    
  909 U,"rgb(173,242,156)",#ADF29C,    
  910 U,"rgb(255,247,145)",#FFF791,    
  911 U,"rgb(255,215,162)",#FFD7A2,    
  912 U,"rgb(255,175,184)",#FFAFB8,    
  913 U,"rgb(255,153,221)",#FF99DD,    
  914 U,"rgb(246,134,225)",#F686E1,    
  915 U,"rgb(41,192,231) ",#29C0E7,    
  916 U,"rgb(189,244,170)",#BDF4AA,    
  917 U,"rgb(254,249,171)",#FEF9AB,    
  918 U,"rgb(255,228,187)",#FFE4BB,    
  919 U,"rgb(255,199,206)",#FFC7CE,    
  920 U,"rgb(255,180,232)",#FFB4E8,    
  921 U,"rgb(253,172,236)",#FDACEC,    
  922 U,"rgb(25,194,169) ",#19C2A9,    
  923 U,"rgb(240,243,115)",#F0F373,    
  924 U,"rgb(255,231,122)",#FFE77A,    
  925 U,"rgb(255,176,152)",#FFB098,    
  926 U,"rgb(255,142,190)",#FF8EBE,    
  927 U,"rgb(255,130,219)",#FF82DB,    
  928 U,"rgb(157,134,222)",#9D86DE,    
  929 U,"rgb(83,207,186) ",#53CFBA,    
  930 U,"rgb(244,248,151)",#F4F897,    
  931 U,"rgb(255,238,147)",#FFEE93,    
  932 U,"rgb(255,195,175)",#FFC3AF,    
  933 U,"rgb(255,167,209)",#FFA7D1,    
  934 U,"rgb(255,157,229)",#FF9DE5,    
  935 U,"rgb(178,158,231)",#B29EE7,    
  936 U,"rgb(119,218,201)",#77DAC9,    
  937 U,"rgb(246,249,173)",#F6F9AD,    
  938 U,"rgb(255,244,176)",#FFF4B0,    
  939 U,"rgb(255,212,196)",#FFD4C4,    
  940 U,"rgb(255,190,222)",#FFBEDE,    
  941 U,"rgb(255,178,235)",#FFB2EB,    
  942 U,"rgb(198,181,237)",#C6B5ED,    
