  code          ,rgb             ,hex    ,name
  9020 U        ,"rgb(244,242,189)",#F4F2BD,    
  9021 U        ,"rgb(247,230,227)",#F7E6E3,    
  9022 U        ,"rgb(245,229,234)",#F5E5EA,    
  9023 U        ,"rgb(238,228,238)",#EEE4EE,    
  9040 U        ,"rgb(218,239,241)",#DAEFF1,    
  9041 U        ,"rgb(223,240,229)",#DFF0E5,    
  9042 U        ,"rgb(228,234,230)",#E4EAE6,    
  9043 U        ,"rgb(234,230,221)",#EAE6DD,    
  9044 U        ,"rgb(188,223,223)",#BCDFDF,    
  9045 U        ,"rgb(185,217,213)",#B9D9D5,    
  9060 U        ,"rgb(248,246,214)",#F8F6D6,    
  9061 U        ,"rgb(250,235,239)",#FAEBEF,    
  9062 U        ,"rgb(225,241,239)",#E1F1EF,    
  9063 U        ,"rgb(228,244,233)",#E4F4E9,    
  9064 U        ,"rgb(248,246,215)",#F8F6D7,    
  9080 U        ,"rgb(224,219,211)",#E0DBD3,    
  9081 U        ,"rgb(220,215,207)",#DCD7CF,    
  9082 U        ,"rgb(209,204,196)",#D1CCC4,    
  9083 U        ,"rgb(196,191,184)",#C4BFB8,    
  9084 U        ,"rgb(189,183,177)",#BDB7B1,    
  9100 U        ,"rgb(233,232,224)",#E9E8E0,    
  9101 U        ,"rgb(222,223,215)",#DEDFD7,    
  9102 U        ,"rgb(208,211,205)",#D0D3CD,    
  9103 U        ,"rgb(195,199,195)",#C3C7C3,    
  9120 U        ,"rgb(249,246,189)",#F9F6BD,    
  9121 U        ,"rgb(249,246,182)",#F9F6B6,    
  9122 U        ,"rgb(232,228,182)",#E8E4B6,    
  9123 U        ,"rgb(213,208,171)",#D5D0AB,    
  9140 U        ,"rgb(250,241,192)",#FAF1C0,    
  9141 U        ,"rgb(250,241,186)",#FAF1BA,    
  9142 U        ,"rgb(234,225,185)",#EAE1B9,    
  9143 U        ,"rgb(227,220,189)",#E3DCBD,    
  9160 U        ,"rgb(253,230,187)",#FDE6BB,    
  9161 U        ,"rgb(235,218,182)",#EBDAB6,    
  9162 U        ,"rgb(222,208,181)",#DED0B5,    
  9163 U        ,"rgb(216,205,184)",#D8CDB8,    
  9180 U        ,"rgb(252,232,206)",#FCE8CE,    
  9181 U        ,"rgb(253,226,194)",#FDE2C2,    
  9182 U        ,"rgb(239,217,194)",#EFD9C2,    
  9183 U        ,"rgb(232,214,196)",#E8D6C4,    
  9184 U        ,"rgb(246,235,216)",#F6EBD8,    
  9185 U        ,"rgb(243,227,208)",#F3E3D0,    
  9186 U        ,"rgb(225,207,190)",#E1CFBE,    
  9200 U        ,"rgb(254,222,196)",#FEDEC4,    
  9201 U        ,"rgb(254,226,199)",#FEE2C7,    
  9202 U        ,"rgb(240,217,197)",#F0D9C5,    
