  code      ,rgb             ,hex    ,name
  P 1-1 C   ,"rgb(248,247,242)",#F8F7F2,    
  P 1-2 C   ,"rgb(249,246,231)",#F9F6E7,    
  P 1-3 C   ,"rgb(250,244,211)",#FAF4D3,    
  P 1-4 C   ,"rgb(251,241,185)",#FBF1B9,    
  P 1-5 C   ,"rgb(252,239,154)",#FCEF9A,    
  P 1-6 C   ,"rgb(253,236,124)",#FDEC7C,    
  P 1-7 C   ,"rgb(254,233,73) ",#FEE949,    
  P 1-8 C   ,"rgb(255,231,0)  ",#FFE700,    
  P 1-9 C   ,"rgb(246,244,234)",#F6F4EA,    
  P 1-10 C  ,"rgb(242,235,194)",#F2EBC2,    
  P 1-11 C  ,"rgb(242,236,195)",#F2ECC3,    
  P 1-12 C  ,"rgb(241,231,170)",#F1E7AA,    
  P 1-13 C  ,"rgb(237,225,141)",#EDE18D,    
  P 1-14 C  ,"rgb(234,219,117)",#EADB75,    
  P 1-15 C  ,"rgb(228,210,69) ",#E4D245,    
  P 1-16 C  ,"rgb(223,203,0)  ",#DFCB00,    
  P 2-1 C   ,"rgb(241,235,201)",#F1EBC9,    
  P 2-2 C   ,"rgb(235,226,177)",#EBE2B1,    
  P 2-3 C   ,"rgb(232,221,156)",#E8DD9C,    
  P 2-4 C   ,"rgb(228,214,124)",#E4D67C,    
  P 2-5 C   ,"rgb(222,207,96) ",#DECF60,    
  P 2-6 C   ,"rgb(218,201,68) ",#DAC944,    
  P 2-7 C   ,"rgb(211,192,0)  ",#D3C000,    
  P 2-8 C   ,"rgb(205,185,0)  ",#CDB900,    
  P 2-9 C   ,"rgb(233,227,189)",#E9E3BD,    
  P 2-10 C  ,"rgb(225,217,166)",#E1D9A6,    
  P 2-11 C  ,"rgb(221,211,147)",#DDD393,    
  P 2-12 C  ,"rgb(214,203,126)",#D6CB7E,    
  P 2-13 C  ,"rgb(208,196,105)",#D0C469,    
  P 2-14 C  ,"rgb(202,189,82) ",#CABD52,    
  P 2-15 C  ,"rgb(194,179,45) ",#C2B32D,    
  P 2-16 C  ,"rgb(184,169,0)  ",#B8A900,    
  P 3-1 C   ,"rgb(233,229,205)",#E9E5CD,    
  P 3-2 C   ,"rgb(225,218,178)",#E1DAB2,    
  P 3-3 C   ,"rgb(217,209,155)",#D9D19B,    
  P 3-4 C   ,"rgb(206,196,129)",#CEC481,    
  P 3-5 C   ,"rgb(195,184,109)",#C3B86D,    
  P 3-6 C   ,"rgb(184,173,83) ",#B8AD53,    
  P 3-7 C   ,"rgb(170,158,50) ",#AA9E32,    
  P 3-8 C   ,"rgb(155,143,15) ",#9B8F0F,    
  P 3-9 C   ,"rgb(237,235,220)",#EDEBDC,    
  P 3-10 C  ,"rgb(226,221,189)",#E2DDBD,    
  P 3-11 C  ,"rgb(213,206,158)",#D5CE9E,    
  P 3-12 C  ,"rgb(200,192,130)",#C8C082,    
  P 3-13 C  ,"rgb(188,179,108)",#BCB36C,    
  P 3-14 C  ,"rgb(170,160,80) ",#AAA050,    
  P 3-15 C  ,"rgb(151,141,47) ",#978D2F,    
  P 3-16 C  ,"rgb(131,122,22) ",#837A16,    
  P 4-1 C   ,"rgb(249,240,205)",#F9F0CD,    
  P 4-2 C   ,"rgb(250,236,185)",#FAECB9,    
