  code      ,rgb             ,hex    ,name
  P 1-1 U   ,"rgb(252,250,241)",#FCFAF1,    
  P 1-2 U   ,"rgb(253,248,225)",#FDF8E1,    
  P 1-3 U   ,"rgb(255,247,199)",#FFF7C7,    
  P 1-4 U   ,"rgb(255,244,169)",#FFF4A9,    
  P 1-5 U   ,"rgb(255,241,139)",#FFF18B,    
  P 1-6 U   ,"rgb(255,239,109)",#FFEF6D,    
  P 1-7 U   ,"rgb(255,236,76) ",#FFEC4C,    
  P 1-8 U   ,"rgb(255,234,46) ",#FFEA2E,    
  P 1-9 U   ,"rgb(249,246,229)",#F9F6E5,    
  P 1-10 U  ,"rgb(248,242,206)",#F8F2CE,    
  P 1-11 U  ,"rgb(243,234,179)",#F3EAB3,    
  P 1-12 U  ,"rgb(241,228,152)",#F1E498,    
  P 1-13 U  ,"rgb(235,219,121)",#EBDB79,    
  P 1-14 U  ,"rgb(227,208,95) ",#E3D05F,    
  P 1-15 U  ,"rgb(218,197,69) ",#DAC545,    
  P 1-16 U  ,"rgb(209,188,54) ",#D1BC36,    
  P 2-1 U   ,"rgb(241,234,190)",#F1EABE,    
  P 2-2 U   ,"rgb(233,223,166)",#E9DFA6,    
  P 2-3 U   ,"rgb(227,216,150)",#E3D896,    
  P 2-4 U   ,"rgb(219,206,127)",#DBCE7F,    
  P 2-5 U   ,"rgb(210,196,108)",#D2C46C,    
  P 2-6 U   ,"rgb(204,189,95) ",#CCBD5F,    
  P 2-7 U   ,"rgb(191,175,76) ",#BFAF4C,    
  P 2-8 U   ,"rgb(177,162,66) ",#B1A242,    
  P 2-9 U   ,"rgb(229,221,173)",#E5DDAD,    
  P 2-10 U  ,"rgb(219,210,152)",#DBD298,    
  P 2-11 U  ,"rgb(210,200,137)",#D2C889,    
  P 2-12 U  ,"rgb(201,190,120)",#C9BE78,    
  P 2-13 U  ,"rgb(194,182,103)",#C2B667,    
  P 2-14 U  ,"rgb(184,171,89) ",#B8AB59,    
  P 2-15 U  ,"rgb(172,160,74) ",#ACA04A,    
  P 2-16 U  ,"rgb(157,146,69) ",#9D9245,    
  P 3-1 U   ,"rgb(231,226,194)",#E7E2C2,    
  P 3-2 U   ,"rgb(218,210,164)",#DAD2A4,    
  P 3-3 U   ,"rgb(206,196,140)",#CEC48C,    
  P 3-4 U   ,"rgb(193,183,119)",#C1B777,    
  P 3-5 U   ,"rgb(180,170,103)",#B4AA67,    
  P 3-6 U   ,"rgb(164,154,89) ",#A49A59,    
  P 3-7 U   ,"rgb(146,137,76) ",#92894C,    
  P 3-8 U   ,"rgb(135,127,73) ",#877F49,    
  P 3-9 U   ,"rgb(237,234,212)",#EDEAD4,    
  P 3-10 U  ,"rgb(221,214,175)",#DDD6AF,    
  P 3-11 U  ,"rgb(203,194,145)",#CBC291,    
  P 3-12 U  ,"rgb(188,179,121)",#BCB379,    
  P 3-13 U  ,"rgb(173,164,104)",#ADA468,    
  P 3-14 U  ,"rgb(151,143,86) ",#978F56,    
  P 3-15 U  ,"rgb(134,127,75) ",#867F4B,    
  P 3-16 U  ,"rgb(118,112,69) ",#767045,    
  P 4-1 U   ,"rgb(254,240,192)",#FEF0C0,    
  P 4-2 U   ,"rgb(255,235,173)",#FFEBAD,    
  P 4-3 U   ,"rgb(255,234,158)",#FFEA9E,    
  P 4-4 U   ,"rgb(255,231,139)",#FFE78B,    
  P 4-5 U   ,"rgb(255,226,118)",#FFE276,    
  P 4-6 U   ,"rgb(255,223,101)",#FFDF65,    
  P 4-7 U   ,"rgb(255,218,77) ",#FFDA4D,    
  P 4-8 U   ,"rgb(255,215,58) ",#FFD73A,    
  P 4-9 U   ,"rgb(241,222,163)",#F1DEA3,    
  P 4-10 U  ,"rgb(239,219,150)",#EFDB96,    
  P 4-11 U  ,"rgb(235,213,136)",#EBD588,    
  P 4-12 U  ,"rgb(232,210,125)",#E8D27D,    
  P 4-13 U  ,"rgb(228,202,109)",#E4CA6D,    
  P 4-14 U  ,"rgb(223,196,95) ",#DFC45F,    
  P 4-15 U  ,"rgb(216,187,79) ",#D8BB4F,    
  P 4-16 U  ,"rgb(207,179,68) ",#CFB344,    
  P 5-1 U   ,"rgb(230,214,159)",#E6D69F,    
  P 5-2 U   ,"rgb(224,206,144)",#E0CE90,    
  P 5-3 U   ,"rgb(220,200,130)",#DCC882,    
  P 5-4 U   ,"rgb(213,192,118)",#D5C076,    
  P 5-5 U   ,"rgb(204,183,102)",#CCB766,    
  P 5-6 U   ,"rgb(194,172,88) ",#C2AC58,    
  P 5-7 U   ,"rgb(182,161,80) ",#B6A150,    
  P 5-8 U   ,"rgb(177,155,74) ",#B19B4A,    
  P 5-9 U   ,"rgb(206,189,126)",#CEBD7E,    
  P 5-10 U  ,"rgb(198,181,117)",#C6B575,    
  P 5-11 U  ,"rgb(194,175,106)",#C2AF6A,    
  P 5-12 U  ,"rgb(188,170,100)",#BCAA64,    
  P 5-13 U  ,"rgb(180,161,89) ",#B4A159,    
  P 5-14 U  ,"rgb(168,150,82) ",#A89652,    
  P 5-15 U  ,"rgb(158,141,76) ",#9E8D4C,    
  P 5-16 U  ,"rgb(151,135,72) ",#978748,    
  P 6-1 U   ,"rgb(212,198,147)",#D4C693,    
  P 6-2 U   ,"rgb(202,188,128)",#CABC80,    
  P 6-3 U   ,"rgb(190,175,113)",#BEAF71,    
  P 6-4 U   ,"rgb(182,166,105)",#B6A669,    
  P 6-5 U   ,"rgb(174,158,96) ",#AE9E60,    
  P 6-6 U   ,"rgb(165,149,86) ",#A59556,    
  P 6-7 U   ,"rgb(151,136,75) ",#97884B,    
  P 6-8 U   ,"rgb(134,121,70) ",#867946,    
  P 6-9 U   ,"rgb(201,187,134)",#C9BB86,    
  P 6-10 U  ,"rgb(189,175,119)",#BDAF77,    
  P 6-11 U  ,"rgb(177,163,107)",#B1A36B,    
  P 6-12 U  ,"rgb(165,151,94) ",#A5975E,    
  P 6-13 U  ,"rgb(153,140,86) ",#998C56,    
  P 6-14 U  ,"rgb(144,131,78) ",#90834E,    
  P 6-15 U  ,"rgb(128,117,69) ",#807545,    
  P 6-16 U  ,"rgb(119,110,70) ",#776E46,    
  P 7-1 U   ,"rgb(253,242,214)",#FDF2D6,    
  P 7-2 U   ,"rgb(253,236,195)",#FDECC3,    
  P 7-3 U   ,"rgb(254,229,171)",#FEE5AB,    
  P 7-4 U   ,"rgb(254,225,148)",#FEE194,    
  P 7-5 U   ,"rgb(253,216,126)",#FDD87E,    
  P 7-6 U   ,"rgb(252,208,107)",#FCD06B,    
  P 7-7 U   ,"rgb(251,200,83) ",#FBC853,    
  P 7-8 U   ,"rgb(248,190,70) ",#F8BE46,    
  P 7-9 U   ,"rgb(247,233,198)",#F7E9C6,    
  P 7-10 U  ,"rgb(241,225,180)",#F1E1B4,    
  P 7-11 U  ,"rgb(239,216,157)",#EFD89D,    
  P 7-12 U  ,"rgb(233,207,134)",#E9CF86,    
  P 7-13 U  ,"rgb(228,197,118)",#E4C576,    
  P 7-14 U  ,"rgb(217,183,97) ",#D9B761,    
  P 7-15 U  ,"rgb(211,173,79) ",#D3AD4F,    
  P 7-16 U  ,"rgb(201,160,69) ",#C9A045,    
  P 8-1 U   ,"rgb(238,224,188)",#EEE0BC,    
  P 8-2 U   ,"rgb(232,213,164)",#E8D5A4,    
  P 8-3 U   ,"rgb(225,203,148)",#E1CB94,    
  P 8-4 U   ,"rgb(217,193,128)",#D9C180,    
  P 8-5 U   ,"rgb(209,182,112)",#D1B670,    
  P 8-6 U   ,"rgb(203,173,96) ",#CBAD60,    
  P 8-7 U   ,"rgb(191,161,85) ",#BFA155,    
  P 8-8 U   ,"rgb(175,144,74) ",#AF904A,    
  P 8-9 U   ,"rgb(239,228,203)",#EFE4CB,    
  P 8-10 U  ,"rgb(230,216,175)",#E6D8AF,    
  P 8-11 U  ,"rgb(219,201,152)",#DBC998,    
  P 8-12 U  ,"rgb(207,186,130)",#CFBA82,    
  P 8-13 U  ,"rgb(199,176,111)",#C7B06F,    
  P 8-14 U  ,"rgb(187,162,95) ",#BBA25F,    
  P 8-15 U  ,"rgb(172,146,81) ",#AC9251,    
  P 8-16 U  ,"rgb(158,133,74) ",#9E854A,    
  P 9-1 U   ,"rgb(227,213,180)",#E3D5B4,    
  P 9-2 U   ,"rgb(211,194,150)",#D3C296,    
  P 9-3 U   ,"rgb(204,186,133)",#CCBA85,    
  P 9-4 U   ,"rgb(191,170,112)",#BFAA70,    
  P 9-5 U   ,"rgb(182,160,101)",#B6A065,    
  P 9-6 U   ,"rgb(162,141,86) ",#A28D56,    
  P 9-7 U   ,"rgb(146,126,76) ",#927E4C,    
  P 9-8 U   ,"rgb(133,114,71) ",#857247,    
  P 9-9 U   ,"rgb(215,202,166)",#D7CAA6,    
  P 9-10 U  ,"rgb(202,186,141)",#CABA8D,    
  P 9-11 U  ,"rgb(190,173,123)",#BEAD7B,    
  P 9-12 U  ,"rgb(179,160,107)",#B3A06B,    
  P 9-13 U  ,"rgb(164,144,93) ",#A4905D,    
  P 9-14 U  ,"rgb(144,126,82) ",#907E52,    
  P 9-15 U  ,"rgb(129,113,74) ",#81714A,    
  P 9-16 U  ,"rgb(118,104,71) ",#766847,    
  P 10-1 U  ,"rgb(251,228,183)",#FBE4B7,    
  P 10-2 U  ,"rgb(251,222,163)",#FBDEA3,    
  P 10-3 U  ,"rgb(251,216,143)",#FBD88F,    
  P 10-4 U  ,"rgb(250,207,125)",#FACF7D,    
  P 10-5 U  ,"rgb(248,200,109)",#F8C86D,    
  P 10-6 U  ,"rgb(248,192,96) ",#F8C060,    
  P 10-7 U  ,"rgb(245,181,79) ",#F5B54F,    
  P 10-8 U  ,"rgb(243,174,72) ",#F3AE48,    
  P 10-9 U  ,"rgb(242,221,178)",#F2DDB2,    
  P 10-10 U ,"rgb(239,212,157)",#EFD49D,    
  P 10-11 U ,"rgb(236,205,140)",#ECCD8C,    
  P 10-12 U ,"rgb(228,192,121)",#E4C079,    
  P 10-13 U ,"rgb(223,182,103)",#DFB667,    
  P 10-14 U ,"rgb(217,171,91) ",#D9AB5B,    
  P 10-15 U ,"rgb(208,159,78) ",#D09F4E,    
  P 10-16 U ,"rgb(199,149,71) ",#C79547,    
  P 11-1 U  ,"rgb(228,206,161)",#E4CEA1,    
  P 11-2 U  ,"rgb(220,194,140)",#DCC28C,    
  P 11-3 U  ,"rgb(213,184,123)",#D5B87B,    
  P 11-4 U  ,"rgb(208,176,108)",#D0B06C,    
  P 11-5 U  ,"rgb(199,162,95) ",#C7A25F,    
  P 11-6 U  ,"rgb(185,147,82) ",#B99352,    
  P 11-7 U  ,"rgb(178,140,73) ",#B28C49,    
  P 11-8 U  ,"rgb(170,132,71) ",#AA8447,    
  P 11-9 U  ,"rgb(218,197,153)",#DAC599,    
  P 11-10 U ,"rgb(209,185,133)",#D1B985,    
  P 11-11 U ,"rgb(201,173,115)",#C9AD73,    
  P 11-12 U ,"rgb(192,163,102)",#C0A366,    
  P 11-13 U ,"rgb(183,151,91) ",#B7975B,    
  P 11-14 U ,"rgb(168,136,81) ",#A88851,    
  P 11-15 U ,"rgb(158,127,73) ",#9E7F49,    
  P 11-16 U ,"rgb(151,120,71) ",#977847,    
  P 12-1 U  ,"rgb(220,202,163)",#DCCAA3,    
  P 12-2 U  ,"rgb(206,186,138)",#CEBA8A,    
  P 12-3 U  ,"rgb(191,168,119)",#BFA877,    
  P 12-4 U  ,"rgb(180,156,103)",#B49C67,    
  P 12-5 U  ,"rgb(175,149,91) ",#AF955B,    
  P 12-6 U  ,"rgb(163,136,80) ",#A38850,    
  P 12-7 U  ,"rgb(148,122,73) ",#947A49,    
  P 12-8 U  ,"rgb(131,108,69) ",#836C45,    
  P 12-9 U  ,"rgb(210,193,152)",#D2C198,    
  P 12-10 U ,"rgb(194,174,127)",#C2AE7F,    
  P 12-11 U ,"rgb(179,158,108)",#B39E6C,    
  P 12-12 U ,"rgb(169,147,95) ",#A9935F,    
  P 12-13 U ,"rgb(157,133,83) ",#9D8553,    
  P 12-14 U ,"rgb(146,122,75) ",#927A4B,    
  P 12-15 U ,"rgb(131,110,71) ",#836E47,    
  P 12-16 U ,"rgb(115,97,68)  ",#736144,    
  P 13-1 U  ,"rgb(220,210,187)",#DCD2BB,    
  P 13-2 U  ,"rgb(211,197,168)",#D3C5A8,    
  P 13-3 U  ,"rgb(200,183,152)",#C8B798,    
  P 13-4 U  ,"rgb(189,174,142)",#BDAE8E,    
  P 13-5 U  ,"rgb(180,162,129)",#B4A281,    
  P 13-6 U  ,"rgb(170,151,119)",#AA9777,    
  P 13-7 U  ,"rgb(161,142,111)",#A18E6F,    
  P 13-8 U  ,"rgb(155,135,104)",#9B8768,    
  P 13-9 U  ,"rgb(147,129,101)",#938165,    
  P 13-10 U ,"rgb(139,122,98) ",#8B7A62,    
  P 13-11 U ,"rgb(131,116,94) ",#83745E,    
  P 13-12 U ,"rgb(125,111,89) ",#7D6F59,    
  P 13-13 U ,"rgb(117,106,87) ",#756A57,    
  P 13-14 U ,"rgb(109,99,81)  ",#6D6351,    
  P 13-15 U ,"rgb(102,94,79)  ",#665E4F,    
  P 13-16 U ,"rgb(96,89,77)   ",#60594D,    
  P 14-1 U  ,"rgb(251,230,195)",#FBE6C3,    
  P 14-2 U  ,"rgb(251,222,171)",#FBDEAB,    
  P 14-3 U  ,"rgb(250,215,152)",#FAD798,    
  P 14-4 U  ,"rgb(248,204,132)",#F8CC84,    
  P 14-5 U  ,"rgb(247,193,112)",#F7C170,    
  P 14-6 U  ,"rgb(245,183,95) ",#F5B75F,    
  P 14-7 U  ,"rgb(242,170,76) ",#F2AA4C,    
  P 14-8 U  ,"rgb(238,156,68) ",#EE9C44,    
  P 14-9 U  ,"rgb(240,213,165)",#F0D5A5,    
  P 14-10 U ,"rgb(236,204,149)",#ECCC95,    
  P 14-11 U ,"rgb(233,197,134)",#E9C586,    
  P 14-12 U ,"rgb(226,185,116)",#E2B974,    
  P 14-13 U ,"rgb(219,172,96) ",#DBAC60,    
  P 14-14 U ,"rgb(215,163,84) ",#D7A354,    
  P 14-15 U ,"rgb(208,152,72) ",#D09848,    
  P 14-16 U ,"rgb(200,141,69) ",#C88D45,    
  P 15-1 U  ,"rgb(239,219,182)",#EFDBB6,    
  P 15-2 U  ,"rgb(230,204,156)",#E6CC9C,    
  P 15-3 U  ,"rgb(225,194,139)",#E1C28B,    
  P 15-4 U  ,"rgb(214,179,118)",#D6B376,    
  P 15-5 U  ,"rgb(203,163,100)",#CBA364,    
  P 15-6 U  ,"rgb(194,152,86) ",#C29856,    
  P 15-7 U  ,"rgb(180,136,74) ",#B4884A,    
  P 15-8 U  ,"rgb(173,126,71) ",#AD7E47,    
  P 15-9 U  ,"rgb(221,195,148)",#DDC394,    
  P 15-10 U ,"rgb(213,184,132)",#D5B884,    
  P 15-11 U ,"rgb(205,172,116)",#CDAC74,    
  P 15-12 U ,"rgb(195,160,103)",#C3A067,    
  P 15-13 U ,"rgb(183,148,91) ",#B7945B,    
  P 15-14 U ,"rgb(171,135,78) ",#AB874E,    
  P 15-15 U ,"rgb(162,124,69) ",#A27C45,    
  P 15-16 U ,"rgb(152,115,69) ",#987345,    
  P 16-1 U  ,"rgb(220,198,158)",#DCC69E,    
  P 16-2 U  ,"rgb(208,184,138)",#D0B88A,    
  P 16-3 U  ,"rgb(197,168,118)",#C5A876,    
  P 16-4 U  ,"rgb(182,153,102)",#B69966,    
  P 16-5 U  ,"rgb(171,141,87) ",#AB8D57,    
  P 16-6 U  ,"rgb(160,130,79) ",#A0824F,    
  P 16-7 U  ,"rgb(148,117,73) ",#947549,    
  P 16-8 U  ,"rgb(136,107,70) ",#886B46,    
  P 16-9 U  ,"rgb(228,213,184)",#E4D5B8,    
  P 16-10 U ,"rgb(211,190,150)",#D3BE96,    
  P 16-11 U ,"rgb(195,171,126)",#C3AB7E,    
  P 16-12 U ,"rgb(178,153,107)",#B2996B,    
  P 16-13 U ,"rgb(164,137,89) ",#A48959,    
  P 16-14 U ,"rgb(148,122,78) ",#947A4E,    
  P 16-15 U ,"rgb(132,108,71) ",#846C47,    
  P 16-16 U ,"rgb(116,95,67)  ",#745F43,    
  P 17-1 U  ,"rgb(251,225,184)",#FBE1B8,    
  P 17-2 U  ,"rgb(250,215,162)",#FAD7A2,    
  P 17-3 U  ,"rgb(249,207,146)",#F9CF92,    
  P 17-4 U  ,"rgb(246,195,129)",#F6C381,    
  P 17-5 U  ,"rgb(245,188,111)",#F5BC6F,    
  P 17-6 U  ,"rgb(243,175,94) ",#F3AF5E,    
  P 17-7 U  ,"rgb(240,161,82) ",#F0A152,    
  P 17-8 U  ,"rgb(236,146,72) ",#EC9248,    
  P 17-9 U  ,"rgb(236,203,154)",#ECCB9A,    
  P 17-10 U ,"rgb(234,196,140)",#EAC48C,    
  P 17-11 U ,"rgb(228,184,124)",#E4B87C,    
  P 17-12 U ,"rgb(224,176,113)",#E0B071,    
  P 17-13 U ,"rgb(219,167,100)",#DBA764,    
  P 17-14 U ,"rgb(210,154,86) ",#D29A56,    
  P 17-15 U ,"rgb(205,143,77) ",#CD8F4D,    
  P 17-16 U ,"rgb(197,131,72) ",#C58348,    
  P 18-1 U  ,"rgb(236,212,170)",#ECD4AA,    
  P 18-2 U  ,"rgb(227,196,146)",#E3C492,    
  P 18-3 U  ,"rgb(219,183,125)",#DBB77D,    
  P 18-4 U  ,"rgb(209,170,113)",#D1AA71,    
  P 18-5 U  ,"rgb(201,158,97) ",#C99E61,    
  P 18-6 U  ,"rgb(195,148,86) ",#C39456,    
  P 18-7 U  ,"rgb(184,134,76) ",#B8864C,    
  P 18-8 U  ,"rgb(173,121,71) ",#AD7947,    
  P 18-9 U  ,"rgb(217,188,141)",#D9BC8D,    
  P 18-10 U ,"rgb(208,176,121)",#D0B079,    
  P 18-11 U ,"rgb(200,164,109)",#C8A46D,    
  P 18-12 U ,"rgb(191,154,98) ",#BF9A62,    
  P 18-13 U ,"rgb(179,141,86) ",#B38D56,    
  P 18-14 U ,"rgb(170,130,78) ",#AA824E,    
  P 18-15 U ,"rgb(163,121,73) ",#A37949,    
  P 18-16 U ,"rgb(152,110,68) ",#986E44,    
  P 19-1 U  ,"rgb(203,175,126)",#CBAF7E,    
  P 19-2 U  ,"rgb(194,163,112)",#C2A370,    
  P 19-3 U  ,"rgb(185,153,105)",#B99969,    
  P 19-4 U  ,"rgb(177,143,94) ",#B18F5E,    
  P 19-5 U  ,"rgb(164,130,82) ",#A48252,    
  P 19-6 U  ,"rgb(152,119,75) ",#98774B,    
  P 19-7 U  ,"rgb(140,108,71) ",#8C6C47,    
  P 19-8 U  ,"rgb(133,101,70) ",#856546,    
  P 19-9 U  ,"rgb(222,203,167)",#DECBA7,    
  P 19-10 U ,"rgb(206,183,141)",#CEB78D,    
  P 19-11 U ,"rgb(190,162,119)",#BEA277,    
  P 19-12 U ,"rgb(177,148,103)",#B19467,    
  P 19-13 U ,"rgb(162,133,91) ",#A2855B,    
  P 19-14 U ,"rgb(144,115,76) ",#90734C,    
  P 19-15 U ,"rgb(130,102,71) ",#826647,    
  P 19-16 U ,"rgb(115,91,67)  ",#735B43,    
  P 20-1 U  ,"rgb(249,209,155)",#F9D19B,    
  P 20-2 U  ,"rgb(247,199,141)",#F7C78D,    
  P 20-3 U  ,"rgb(245,192,126)",#F5C07E,    
  P 20-4 U  ,"rgb(244,183,111)",#F4B76F,    
  P 20-5 U  ,"rgb(242,174,97) ",#F2AE61,    
  P 20-6 U  ,"rgb(240,162,86) ",#F0A256,    
  P 20-7 U  ,"rgb(237,151,79) ",#ED974F,    
  P 20-8 U  ,"rgb(235,140,73) ",#EB8C49,    
  P 20-9 U  ,"rgb(234,192,136)",#EAC088,    
  P 20-10 U ,"rgb(228,182,124)",#E4B67C,    
  P 20-11 U ,"rgb(225,174,113)",#E1AE71,    
  P 20-12 U ,"rgb(221,166,103)",#DDA667,    
  P 20-13 U ,"rgb(215,153,90) ",#D7995A,    
  P 20-14 U ,"rgb(211,144,81) ",#D39051,    
  P 20-15 U ,"rgb(203,133,75) ",#CB854B,    
  P 20-16 U ,"rgb(198,125,72) ",#C67D48,    
  P 21-1 U  ,"rgb(231,199,154)",#E7C79A,    
  P 21-2 U  ,"rgb(224,186,136)",#E0BA88,    
  P 21-3 U  ,"rgb(217,173,119)",#D9AD77,    
  P 21-4 U  ,"rgb(209,160,104)",#D1A068,    
  P 21-5 U  ,"rgb(200,145,91) ",#C8915B,    
  P 21-6 U  ,"rgb(191,133,81) ",#BF8551,    
  P 21-7 U  ,"rgb(183,121,74) ",#B7794A,    
  P 21-8 U  ,"rgb(176,114,73) ",#B07249,    
  P 21-9 U  ,"rgb(209,171,122)",#D1AB7A,    
  P 21-10 U ,"rgb(204,162,109)",#CCA26D,    
  P 21-11 U ,"rgb(196,151,100)",#C49764,    
  P 21-12 U ,"rgb(188,139,90) ",#BC8B5A,    
  P 21-13 U ,"rgb(178,129,83) ",#B28153,    
  P 21-14 U ,"rgb(171,120,76) ",#AB784C,    
  P 21-15 U ,"rgb(163,111,72) ",#A36F48,    
  P 21-16 U ,"rgb(159,108,72) ",#9F6C48,    
  P 22-1 U  ,"rgb(222,197,162)",#DEC5A2,    
  P 22-2 U  ,"rgb(210,179,137)",#D2B389,    
  P 22-3 U  ,"rgb(200,164,118)",#C8A476,    
  P 22-4 U  ,"rgb(188,150,105)",#BC9669,    
