  code             ,rgb             ,hex    ,name
  100 U            ,"rgb(254,243,128)",#FEF380,    
  101 U            ,"rgb(255,241,102)",#FFF166,    
  102 U            ,"rgb(255,236,45) ",#FFEC2D,    
  103 U            ,"rgb(180,159,41) ",#B49F29,    
  104 U            ,"rgb(155,141,57) ",#9B8D39,    
  105 U            ,"rgb(125,117,71) ",#7D7547,    
  106 U            ,"rgb(255,235,104)",#FFEB68,    
  107 U            ,"rgb(255,229,82) ",#FFE552,    
  108 U            ,"rgb(255,221,53) ",#FFDD35,    
  109 U            ,"rgb(255,199,0)  ",#FFC700,    
  110 U            ,"rgb(204,159,38) ",#CC9F26,    
  111 U            ,"rgb(156,135,59) ",#9C873B,    
  112 U            ,"rgb(138,122,62) ",#8A7A3E,    
  113 U            ,"rgb(255,225,94) ",#FFE15E,    
  114 U            ,"rgb(255,217,74) ",#FFD94A,    
  115 U            ,"rgb(255,206,46) ",#FFCE2E,    
  116 U            ,"rgb(255,181,17) ",#FFB511,    
  117 U            ,"rgb(183,140,48) ",#B78C30,    
  118 U            ,"rgb(158,129,57) ",#9E8139,    
  119 U            ,"rgb(132,119,72) ",#847748,    
  120 U            ,"rgb(255,217,106)",#FFD96A,    
  121 U            ,"rgb(255,204,82) ",#FFCC52,    
  122 U            ,"rgb(255,192,63) ",#FFC03F,    
  123 U            ,"rgb(255,172,42) ",#FFAC2A,    
  124 U            ,"rgb(215,145,51) ",#D79133,    
  125 U            ,"rgb(166,129,61) ",#A6813D,    
  126 U            ,"rgb(142,119,66) ",#8E7742,    
  127 U            ,"rgb(252,227,133)",#FCE385,    
  128 U            ,"rgb(252,207,97) ",#FCCF61,    
  129 U            ,"rgb(250,175,63) ",#FAAF3F,    
  130 U            ,"rgb(247,155,46) ",#F79B2E,    
  131 U            ,"rgb(186,128,50) ",#BA8032,    
  132 U            ,"rgb(151,122,60) ",#977A3C,    
  133 U            ,"rgb(124,112,71) ",#7C7047,    
  134 U            ,"rgb(255,211,120)",#FFD378,    
  135 U            ,"rgb(255,194,103)",#FFC267,    
  136 U            ,"rgb(255,173,74) ",#FFAD4A,    
  137 U            ,"rgb(255,159,55) ",#FF9F37,    
  138 U            ,"rgb(211,124,50) ",#D37C32,    
  139 U            ,"rgb(157,111,60) ",#9D6F3C,    
  140 U            ,"rgb(127,106,69) ",#7F6A45,    
  141 U            ,"rgb(249,193,110)",#F9C16E,    
  142 U            ,"rgb(248,176,93) ",#F8B05D,    
  143 U            ,"rgb(246,160,77) ",#F6A04D,    
  144 U            ,"rgb(243,139,60) ",#F38B3C,    
  145 U            ,"rgb(201,127,58) ",#C97F3A,    
  146 U            ,"rgb(157,116,65) ",#9D7441,    
  147 U            ,"rgb(118,105,74) ",#76694A,    
  148 U            ,"rgb(255,198,136)",#FFC688,    
  149 U            ,"rgb(255,181,117)",#FFB575,    
  150 U            ,"rgb(255,153,85) ",#FF9955,    
  151 U            ,"rgb(255,136,62) ",#FF883E,    
  152 U            ,"rgb(224,122,63) ",#E07A3F,    
  153 U            ,"rgb(172,111,66) ",#AC6F42,    
  154 U            ,"rgb(146,104,68) ",#926844,    
  155 U            ,"rgb(247,201,149)",#F7C995,    
  156 U            ,"rgb(247,185,132)",#F7B984,    
  157 U            ,"rgb(243,150,98) ",#F39662,    
  158 U            ,"rgb(238,127,75) ",#EE7F4B,    
  159 U            ,"rgb(201,113,70) ",#C97146,    
  160 U            ,"rgb(157,107,71) ",#9D6B47,    
  161 U            ,"rgb(120,98,73)  ",#786249,    
  162 U            ,"rgb(255,187,155)",#FFBB9B,    
  163 U            ,"rgb(255,156,118)",#FF9C76,    
  164 U            ,"rgb(255,134,95) ",#FF865F,    
  165 U            ,"rgb(255,117,72) ",#FF7548,    
  166 U            ,"rgb(225,103,64) ",#E16740,    
  167 U            ,"rgb(180,101,71) ",#B46547,    
  168 U            ,"rgb(138,97,75)  ",#8A614B,    
  169 U            ,"rgb(255,183,174)",#FFB7AE,    
  170 U            ,"rgb(255,141,126)",#FF8D7E,    
  171 U            ,"rgb(255,120,101)",#FF7865,    
  172 U            ,"rgb(255,103,77) ",#FF674D,    
  173 U            ,"rgb(206,97,74)  ",#CE614A,    
  174 U            ,"rgb(156,91,75)  ",#9C5B4B,    
  175 U            ,"rgb(125,89,77)  ",#7D594D,    
  176 U            ,"rgb(255,177,186)",#FFB1BA,    
  177 U            ,"rgb(255,140,145)",#FF8C91,    
  178 U            ,"rgb(255,118,119)",#FF7677,    
  179 U            ,"rgb(225,95,85)  ",#E15F55,    
  180 U            ,"rgb(191,96,89)  ",#BF6059,    
  181 U            ,"rgb(139,89,82)  ",#8B5952,    
  182 U            ,"rgb(255,184,202)",#FFB8CA,    
  183 U            ,"rgb(255,141,163)",#FF8DA3,    
  184 U            ,"rgb(252,110,131)",#FC6E83,    
  185 U            ,"rgb(241,80,96)  ",#F15060,    
  186 U            ,"rgb(210,81,94)  ",#D2515E,    
  187 U            ,"rgb(174,83,92)  ",#AE535C,    
  188 U            ,"rgb(137,85,89)  ",#895559,    
  189 U            ,"rgb(255,171,194)",#FFABC2,    
  190 U            ,"rgb(254,135,163)",#FE87A3,    
  191 U            ,"rgb(248,112,137)",#F87089,    
  192 U            ,"rgb(238,83,107) ",#EE536B,    
  193 U            ,"rgb(197,82,101) ",#C55265,    
  194 U            ,"rgb(163,89,101) ",#A35965,    
  195 U            ,"rgb(136,90,97)  ",#885A61,    
  196 U            ,"rgb(244,195,203)",#F4C3CB,    
  197 U            ,"rgb(242,161,178)",#F2A1B2,    
  198 U            ,"rgb(231,107,124)",#E76B7C,    
  199 U            ,"rgb(221,80,97)  ",#DD5061,    
  200 U            ,"rgb(189,79,92)  ",#BD4F5C,    
  201 U            ,"rgb(161,87,96)  ",#A15760,    
  202 U            ,"rgb(144,88,94)  ",#90585E,    
  203 U            ,"rgb(245,177,204)",#F5B1CC,    
  204 U            ,"rgb(238,130,164)",#EE82A4,    
  205 U            ,"rgb(229,98,132) ",#E56284,    
  206 U            ,"rgb(216,68,101) ",#D84465,    
  207 U            ,"rgb(175,76,100) ",#AF4C64,    
  208 U            ,"rgb(144,85,103) ",#905567,    
  209 U            ,"rgb(130,88,100) ",#825864,    
  210 U            ,"rgb(255,162,203)",#FFA2CB,    
  211 U            ,"rgb(252,133,182)",#FC85B6,    
  212 U            ,"rgb(245,109,158)",#F56D9E,    
  213 U            ,"rgb(233,84,133) ",#E95485,    
  214 U            ,"rgb(209,81,122) ",#D1517A,    
  215 U            ,"rgb(174,81,113) ",#AE5171,    
  216 U            ,"rgb(138,85,102) ",#8A5566,    
  217 U            ,"rgb(244,193,225)",#F4C1E1,    
  218 U            ,"rgb(239,132,185)",#EF84B9,    
  219 U            ,"rgb(228,92,150) ",#E45C96,    
  220 U            ,"rgb(176,76,117) ",#B04C75,    
  221 U            ,"rgb(158,76,110) ",#9E4C6E,    
  222 U            ,"rgb(130,86,107) ",#82566B,    
  223 U            ,"rgb(249,164,216)",#F9A4D8,    
  224 U            ,"rgb(245,135,199)",#F587C7,    
  225 U            ,"rgb(234,96,167) ",#EA60A7,    
  226 U            ,"rgb(220,69,136) ",#DC4588,    
  227 U            ,"rgb(175,72,121) ",#AF4879,    
  228 U            ,"rgb(141,77,109) ",#8D4D6D,    
  229 U            ,"rgb(122,84,102) ",#7A5466,    
  230 U            ,"rgb(254,178,224)",#FEB2E0,    
  231 U            ,"rgb(249,132,202)",#F984CA,    
  232 U            ,"rgb(241,106,183)",#F16AB7,    
  233 U            ,"rgb(200,70,135) ",#C84687,    
  234 U            ,"rgb(170,76,125) ",#AA4C7D,    
  235 U            ,"rgb(145,78,114) ",#914E72,    
  236 U            ,"rgb(248,166,222)",#F8A6DE,    
  237 U            ,"rgb(242,141,210)",#F28DD2,    
  238 U            ,"rgb(233,113,192)",#E971C0,    
  239 U            ,"rgb(219,85,170) ",#DB55AA,    
  240 U            ,"rgb(193,85,152) ",#C15598,    
  241 U            ,"rgb(175,84,139) ",#AF548B,    
  242 U            ,"rgb(141,89,119) ",#8D5977,    
  243 U            ,"rgb(241,178,230)",#F1B2E6,    
  244 U            ,"rgb(235,154,222)",#EB9ADE,    
  245 U            ,"rgb(224,127,208)",#E07FD0,    
  246 U            ,"rgb(206,87,179) ",#CE57B3,    
  247 U            ,"rgb(189,81,162) ",#BD51A2,    
  248 U            ,"rgb(161,79,140) ",#A14F8C,    
  249 U            ,"rgb(136,87,121) ",#885779,    
  250 U            ,"rgb(238,186,233)",#EEBAE9,    
  251 U            ,"rgb(224,150,223)",#E096DF,    
  252 U            ,"rgb(206,112,204)",#CE70CC,    
  253 U            ,"rgb(180,86,174) ",#B456AE,    
  254 U            ,"rgb(158,84,154) ",#9E549A,    
  255 U            ,"rgb(131,87,125) ",#83577D,    
  256 U            ,"rgb(212,180,218)",#D4B4DA,    
  257 U            ,"rgb(194,155,203)",#C29BCB,    
  258 U            ,"rgb(162,118,174)",#A276AE,    
  259 U            ,"rgb(148,103,156)",#94679C,    
  260 U            ,"rgb(138,101,141)",#8A658D,    
  261 U            ,"rgb(127,98,130) ",#7F6282,    
  262 U            ,"rgb(117,94,116) ",#755E74,    
  263 U            ,"rgb(220,198,234)",#DCC6EA,    
  264 U            ,"rgb(191,161,227)",#BFA1E3,    
  265 U            ,"rgb(157,122,210)",#9D7AD2,    
  266 U            ,"rgb(138,101,196)",#8A65C4,    
  267 U            ,"rgb(127,93,174) ",#7F5DAE,    
  268 U            ,"rgb(115,89,144) ",#735990,    
  269 U            ,"rgb(110,88,127) ",#6E587F,    
  270 U            ,"rgb(173,174,222)",#ADAEDE,    
  271 U            ,"rgb(154,155,212)",#9A9BD4,    
  272 U            ,"rgb(133,134,198)",#8586C6,    
  273 U            ,"rgb(100,93,155) ",#645D9B,    
  274 U            ,"rgb(95,87,139)  ",#5F578B,    
  275 U            ,"rgb(93,86,131)  ",#5D5683,    
  276 U            ,"rgb(92,85,111)  ",#5C556F,    
  277 U            ,"rgb(173,207,241)",#ADCFF1,    
  278 U            ,"rgb(141,186,238)",#8DBAEE,    
  279 U            ,"rgb(91,142,219) ",#5B8EDB,    
  280 U            ,"rgb(60,73,129)  ",#3C4981,    
  281 U            ,"rgb(63,74,117)  ",#3F4A75,    
  282 U            ,"rgb(67,73,103)  ",#434967,    
  283 U            ,"rgb(155,199,238)",#9BC7EE,    
  284 U            ,"rgb(122,177,232)",#7AB1E8,    
  285 U            ,"rgb(73,130,207) ",#4982CF,    
  286 U            ,"rgb(50,85,164)  ",#3255A4,    
  287 U            ,"rgb(60,88,150)  ",#3C5896,    
  288 U            ,"rgb(61,85,136)  ",#3D5588,    
  289 U            ,"rgb(67,79,105)  ",#434F69,    
  290 U            ,"rgb(167,212,238)",#A7D4EE,    
  291 U            ,"rgb(127,190,235)",#7FBEEB,    
  292 U            ,"rgb(98,168,229) ",#62A8E5,    
  293 U            ,"rgb(35,91,168)  ",#235BA8,    
  294 U            ,"rgb(56,89,136)  ",#385988,    
  295 U            ,"rgb(55,81,114)  ",#375172,    
  296 U            ,"rgb(67,80,96)   ",#435060,    
  297 U            ,"rgb(126,204,238)",#7ECCEE,    
  298 U            ,"rgb(76,180,231) ",#4CB4E7,    
  299 U            ,"rgb(18,149,216) ",#1295D8,    
  300 U            ,"rgb(0,110,182)  ",#006EB6,    
  301 U            ,"rgb(40,98,142)  ",#28628E,    
  302 U            ,"rgb(55,94,119)  ",#375E77,    
  303 U            ,"rgb(63,86,102)  ",#3F5666,    
  304 U            ,"rgb(142,221,237)",#8EDDED,    
  305 U            ,"rgb(83,202,236) ",#53CAEC,    
  306 U            ,"rgb(0,180,228)  ",#00B4E4,    
  307 U            ,"rgb(0,116,162)  ",#0074A2,    
  308 U            ,"rgb(38,103,130) ",#266782,    
  309 U            ,"rgb(63,88,100)  ",#3F5864,    
  310 U            ,"rgb(91,208,230) ",#5BD0E6,    
  311 U            ,"rgb(1,190,219)  ",#01BEDB,    
  312 U            ,"rgb(0,175,208)  ",#00AFD0,    
  313 U            ,"rgb(0,141,177)  ",#008DB1,    
  314 U            ,"rgb(0,125,153)  ",#007D99,    
  315 U            ,"rgb(32,103,121) ",#206779,    
  316 U            ,"rgb(62,90,98)   ",#3E5A62,    
  317 U            ,"rgb(174,233,232)",#AEE9E8,    
  318 U            ,"rgb(107,217,222)",#6BD9DE,    
  319 U            ,"rgb(37,201,208) ",#25C9D0,    
  320 U            ,"rgb(0,157,165)  ",#009DA5,    
  321 U            ,"rgb(0,131,138)  ",#00838A,    
  322 U            ,"rgb(22,115,120) ",#167378,    
  323 U            ,"rgb(47,97,101)  ",#2F6165,    
  324 U            ,"rgb(130,216,213)",#82D8D5,    
  325 U            ,"rgb(64,193,187) ",#40C1BB,    
  326 U            ,"rgb(0,170,161)  ",#00AAA1,    
  327 U            ,"rgb(0,143,133)  ",#008F85,    
  328 U            ,"rgb(19,125,121) ",#137D79,    
  329 U            ,"rgb(46,117,114) ",#2E7572,    
