  code             ,rgb             ,hex    ,name
  100 XGC          ,"rgb(244,232,103)",#F4E867,    
  101 XGC          ,"rgb(245,231,88) ",#F5E758,    
  102 XGC          ,"rgb(246,229,0)  ",#F6E500,    
  103 XGC          ,"rgb(199,176,0)  ",#C7B000,    
  104 XGC          ,"rgb(178,158,0)  ",#B29E00,    
  105 XGC          ,"rgb(138,126,45) ",#8A7E2D,    
  106 XGC          ,"rgb(244,231,88) ",#F4E758,    
  107 XGC          ,"rgb(247,225,56) ",#F7E138,    
  108 XGC          ,"rgb(250,217,0)  ",#FAD900,    
  109 XGC          ,"rgb(251,210,0)  ",#FBD200,    
  110 XGC          ,"rgb(224,178,0)  ",#E0B200,    
  111 XGC          ,"rgb(176,144,0)  ",#B09000,    
  112 XGC          ,"rgb(158,135,25) ",#9E8719,    
  113 XGC          ,"rgb(246,225,98) ",#F6E162,    
  114 XGC          ,"rgb(248,221,80) ",#F8DD50,    
  115 XGC          ,"rgb(249,217,56) ",#F9D938,    
  116 XGC          ,"rgb(252,205,0)  ",#FCCD00,    
  117 XGC          ,"rgb(208,159,0)  ",#D09F00,    
  118 XGC          ,"rgb(177,140,0)  ",#B18C00,    
  119 XGC          ,"rgb(141,121,41) ",#8D7929,    
  120 XGC          ,"rgb(248,218,106)",#F8DA6A,    
  121 XGC          ,"rgb(249,214,94) ",#F9D65E,    
  122 XGC          ,"rgb(251,208,79) ",#FBD04F,    
  123 XGC          ,"rgb(253,200,66) ",#FDC842,    
  124 XGC          ,"rgb(235,182,0)  ",#EBB600,    
  125 XGC          ,"rgb(190,141,0)  ",#BE8D00,    
  126 XGC          ,"rgb(161,126,22) ",#A17E16,    
  127 XGC          ,"rgb(243,228,117)",#F3E475,    
  128 XGC          ,"rgb(242,220,94) ",#F2DC5E,    
  129 XGC          ,"rgb(242,216,78) ",#F2D84E,    
  130 XGC          ,"rgb(244,174,0)  ",#F4AE00,    
  131 XGC          ,"rgb(211,145,0)  ",#D39100,    
  132 XGC          ,"rgb(163,120,0)  ",#A37800,    
  133 XGC          ,"rgb(113,94,25)  ",#715E19,    
  134 XGC          ,"rgb(249,210,104)",#F9D268,    
  135 XGC          ,"rgb(252,201,89) ",#FCC959,    
  136 XGC          ,"rgb(254,194,65) ",#FEC241,    
  137 XGC          ,"rgb(255,170,14) ",#FFAA0E,    
  138 XGC          ,"rgb(227,135,0)  ",#E38700,    
  139 XGC          ,"rgb(178,117,3)  ",#B27503,    
  140 XGC          ,"rgb(121,90,33)  ",#795A21,    
  141 XGC          ,"rgb(242,202,97) ",#F2CA61,    
  142 XGC          ,"rgb(242,194,80) ",#F2C250,    
  143 XGC          ,"rgb(241,182,63) ",#F1B63F,    
  144 XGC          ,"rgb(238,146,0)  ",#EE9200,    
  145 XGC          ,"rgb(213,135,0)  ",#D58700,    
  146 XGC          ,"rgb(172,114,16) ",#AC7210,    
  147 XGC          ,"rgb(115,94,44)  ",#735E2C,    
  148 XGC          ,"rgb(250,205,145)",#FACD91,    
  149 XGC          ,"rgb(252,199,129)",#FCC781,    
  150 XGC          ,"rgb(255,184,98) ",#FFB862,    
  151 XGC          ,"rgb(255,139,29) ",#FF8B1D,    
  152 XGC          ,"rgb(232,123,0)  ",#E87B00,    
  153 XGC          ,"rgb(192,114,32) ",#C07220,    
