  code         ,rgb             ,hex    ,name              
  PQ-19-3909TCX,"rgb(46,39,42)   ",#2E272A,Black Bean        
  PQ-19-3911TCX,"rgb(38,38,42)   ",#26262A,Black Beauty      
  PQ-19-3922TCX,"rgb(38,41,52)   ",#262934,Sky Captain       
  PQ-19-4003TCX,"rgb(43,39,43)   ",#2B272B,Black Onyx        
  PQ-19-4004TCX,"rgb(42,43,45)   ",#2A2B2D,Tap Shoe          
  PQ-19-4006TCX,"rgb(41,42,45)   ",#292A2D,Caviar            
  PQ-19-4007TCX,"rgb(40,40,45)   ",#28282D,Anthracite        
  PQ-19-4008TCX,"rgb(43,41,41)   ",#2B2929,Meteorite         
  PQ-19-5350TCX,"rgb(35,49,45)   ",#23312D,Scarab            
  PQ-19-5708TCX,"rgb(38,44,42)   ",#262C2A,Jet Set           
  PQ-19-4038TCX,"rgb(18,56,80)   ",#123850,Gibraltar Sea     
  PQ-19-4034TCX,"rgb(14,58,83)   ",#0E3A53,Sailor Blue       
  PQ-19-3952TCX,"rgb(32,60,127)  ",#203C7F,Surf the Web      
  PQ-19-3864TCX,"rgb(39,60,118)  ",#273C76,Mazarine Blue     
  PQ-19-3951TCX,"rgb(54,59,124)  ",#363B7C,Clematis Blue     
  PQ-19-4045TCX,"rgb(0,75,141)   ",#004B8D,Lapis Blue        
  PQ-19-4049TCX,"rgb(3,79,132)   ",#034F84,Snorkel Blue      
  PQ-19-4050TCX,"rgb(26,80,145)  ",#1A5091,Nautical Blue     
  PQ-19-4052TCX,"rgb(15,76,129)  ",#0F4C81,Classic Blue      
  PQ-19-4056TCX,"rgb(26,76,139)  ",#1A4C8B,Blue Iolite       
  PQ-18-3949TCX,"rgb(56,80,160)  ",#3850A0,Dazzling Blue     
  PQ-19-4150TCX,"rgb(0,83,156)   ",#00539C,Princess Blue     
  PQ-19-4151TCX,"rgb(0,88,155)   ",#00589B,Skydiver          
  PQ-18-4148TCX,"rgb(8,88,157)   ",#08589D,Victoria Blue     
  PQ-19-4245TCX,"rgb(0,90,146)   ",#005A92,Imperial Blue     
  PQ-18-4244TCX,"rgb(0,97,163)   ",#0061A3,Directoire Blue   
  PQ-18-4045TCX,"rgb(15,95,154)  ",#0F5F9A,Daphne            
  PQ-18-4051TCX,"rgb(31,93,160)  ",#1F5DA0,Strong Blue       
  PQ-18-3945TCX,"rgb(73,96,168)  ",#4960A8,Amparo Blue       
  PQ-18-4048TCX,"rgb(45,98,163)  ",#2D62A3,Nebulas Blue      
  PQ-19-4033TCX,"rgb(18,57,85)   ",#123955,Poseidon          
  PQ-19-4120TCX,"rgb(15,59,87)   ",#0F3B57,Blue Opal         
  PQ-19-4053TCX,"rgb(25,81,144)  ",#195190,Turkish Sea       
  PQ-18-4250TCX,"rgb(0,108,169)  ",#006CA9,Indigo Bunting    
  PQ-18-4043TCX,"rgb(52,108,176) ",#346CB0,Palace Blue       
  PQ-19-5220TCX,"rgb(18,64,60)   ",#12403C,Botanical Garden  
  PQ-19-5232TCX,"rgb(21,70,62)   ",#15463E,Rain Forest       
  PQ-19-4057TCX,"rgb(30,68,119)  ",#1E4477,True Blue         
  PQ-18-4140TCX,"rgb(0,114,181)  ",#0072B5,French Blue       
  PQ-18-4247TCX,"rgb(0,117,179)  ",#0075B3,Brilliant Blue    
  PQ-18-4252TCX,"rgb(0,119,179)  ",#0077B3,Blue Aster        
  PQ-18-4440TCX,"rgb(0,117,175)  ",#0075AF,Cloisonné         
  PQ-19-5406TCX,"rgb(33,54,49)   ",#213631,Pine Grove        
  PQ-19-5230TCX,"rgb(24,74,69)   ",#184A45,Forest Biome      
  PQ-17-4245TCX,"rgb(0,124,183)  ",#007CB7,Ibiza Blue        
  PQ-17-4247TCX,"rgb(0,123,178)  ",#007BB2,Diva Blue         
  PQ-19-5918TCX,"rgb(46,61,48)   ",#2E3D30,Mountain View     
  PQ-19-5217TCX,"rgb(3,84,83)    ",#035453,Storm             
  PQ-19-4524TCX,"rgb(0,88,94)    ",#00585E,Shaded Spruce     
  PQ-19-4540TCX,"rgb(0,82,101)   ",#005265,Deep Lagoon       
  PQ-19-4340TCX,"rgb(0,88,113)   ",#005871,Lyons Blue        
  PQ-18-4434TCX,"rgb(0,87,128)   ",#005780,Mykonos Blue      
  PQ-18-4231TCX,"rgb(9,87,123)   ",#09577B,Blue Sapphire     
  PQ-19-4048TCX,"rgb(21,81,135)  ",#155187,Baleine Blue      
  PQ-19-4914TCX,"rgb(24,69,75)   ",#18454B,Deep Teal         
  PQ-18-5322TCX,"rgb(0,95,86)    ",#005F56,Alpine Green      
  PQ-19-5226TCX,"rgb(0,91,93)    ",#005B5D,Everglade         
  PQ-19-4234TCX,"rgb(11,83,105)  ",#0B5369,Ink Blue          
  PQ-19-4241TCX,"rgb(15,78,103)  ",#0F4E67,Moroccan Blue     
  PQ-19-4342TCX,"rgb(0,94,125)   ",#005E7D,Seaport           
  PQ-19-4535TCX,"rgb(0,97,117)   ",#006175,Ocean Depths      
  PQ-18-4530TCX,"rgb(0,99,128)   ",#006380,Celestial         
  PQ-18-4330TCX,"rgb(0,126,177)  ",#007EB1,Swedish Blue      
