  code   ,rgb             ,hex    ,name
  2R15 SP,"rgb(81,66,57)   ",#514239,    
  3R15 SP,"rgb(83,67,58)   ",#53433A,    
  1R15 SP,"rgb(84,67,56)   ",#544338,    
  4R15 SP,"rgb(84,66,57)   ",#544239,    
  1R14 SP,"rgb(100,75,60)  ",#644B3C,    
  2R14 SP,"rgb(99,75,63)   ",#634B3F,    
  4R14 SP,"rgb(99,72,62)   ",#63483E,    
  1Y14 SP,"rgb(101,77,62)  ",#654D3E,    
  3R14 SP,"rgb(102,76,65)  ",#664C41,    
  2R13 SP,"rgb(120,84,68)  ",#785444,    
  3R13 SP,"rgb(119,84,69)  ",#775445,    
  1R13 SP,"rgb(119,86,66)  ",#775642,    
  1Y13 SP,"rgb(119,87,65)  ",#775741,    
  2Y13 SP,"rgb(121,89,69)  ",#795945,    
  3Y12 SP,"rgb(132,99,73)  ",#846349,    
  1R12 SP,"rgb(134,96,72)  ",#866048,    
  1Y12 SP,"rgb(135,98,73)  ",#876249,    
  3R12 SP,"rgb(137,95,77)  ",#895F4D,    
  2Y12 SP,"rgb(137,99,76)  ",#89634C,    
  2R12 SP,"rgb(140,98,78)  ",#8C624E,    
  3Y11 SP,"rgb(144,111,84) ",#906F54,    
  4Y11 SP,"rgb(143,112,84) ",#8F7054,    
  1Y11 SP,"rgb(148,108,81) ",#946C51,    
  1R11 SP,"rgb(151,108,82) ",#976C52,    
  2Y11 SP,"rgb(152,111,84) ",#986F54,    
  4Y10 SP,"rgb(153,121,93) ",#99795D,    
  2R11 SP,"rgb(154,107,84) ",#9A6B54,    
  3R11 SP,"rgb(153,106,88) ",#996A58,    
  3Y10 SP,"rgb(155,119,93) ",#9B775D,    
  1R10 SP,"rgb(162,120,93) ",#A2785D,    
  1Y10 SP,"rgb(160,118,90) ",#A0765A,    
  2Y10 SP,"rgb(160,121,95) ",#A0795F,    
  3Y09 SP,"rgb(166,130,102)",#A68266,    
  4Y09 SP,"rgb(165,129,99) ",#A58163,    
  5Y09 SP,"rgb(163,130,100)",#A38264,    
  2R10 SP,"rgb(165,117,95) ",#A5755F,    
  3R10 SP,"rgb(165,116,97) ",#A57461,    
  1Y09 SP,"rgb(168,127,100)",#A87F64,    
  1R09 SP,"rgb(171,129,103)",#AB8167,    
  2Y09 SP,"rgb(169,129,103)",#A98167,    
  3R09 SP,"rgb(174,127,110)",#AE7F6E,    
  5Y08 SP,"rgb(170,139,109)",#AA8B6D,    
  3Y08 SP,"rgb(176,137,110)",#B0896E,    
  4Y08 SP,"rgb(173,139,111)",#AD8B6F,    
  2R09 SP,"rgb(172,126,105)",#AC7E69,    
  4R09 SP,"rgb(173,126,113)",#AD7E71,    
  1R08 SP,"rgb(179,136,110)",#B3886E,    
  1Y08 SP,"rgb(177,136,108)",#B1886C,    
  2R08 SP,"rgb(179,134,114)",#B38672,    
  2Y08 SP,"rgb(175,136,112)",#AF8870,    
  3R08 SP,"rgb(181,133,118)",#B58576,    
  4R08 SP,"rgb(181,134,120)",#B58678,    
  2R07 SP,"rgb(182,141,123)",#B68D7B,    
  3Y07 SP,"rgb(180,146,119)",#B49277,    
  4Y07 SP,"rgb(179,146,118)",#B39276,    
  5Y07 SP,"rgb(177,145,117)",#B19175,    
  3R07 SP,"rgb(185,141,126)",#B98D7E,    
  1Y07 SP,"rgb(182,146,121)",#B69279,    
  2Y07 SP,"rgb(181,146,123)",#B5927B,    
  4R07 SP,"rgb(188,141,128)",#BC8D80,    
  1R07 SP,"rgb(183,146,123)",#B7927B,    
  3Y06 SP,"rgb(186,153,130)",#BA9982,    
  5R07 SP,"rgb(190,145,134)",#BE9186,    
  5R06 SP,"rgb(193,149,140)",#C1958C,    
  1Y06 SP,"rgb(187,152,129)",#BB9881,    
  4Y06 SP,"rgb(185,153,128)",#B99980,    
  5Y06 SP,"rgb(184,154,126)",#B89A7E,    
  1R06 SP,"rgb(187,153,131)",#BB9983,    
  2R06 SP,"rgb(189,149,132)",#BD9584,    
  2Y06 SP,"rgb(189,153,131)",#BD9983,    
  1Y05 SP,"rgb(190,157,134)",#BE9D86,    
  4Y05 SP,"rgb(188,157,135)",#BC9D87,    
  5Y05 SP,"rgb(189,159,135)",#BD9F87,    
  1R05 SP,"rgb(191,159,140)",#BF9F8C,    
  2R05 SP,"rgb(194,156,140)",#C29C8C,    
  3Y05 SP,"rgb(190,157,136)",#BE9D88,    
  5Y04 SP,"rgb(192,164,141)",#C0A48D,    
  4R04 SP,"rgb(198,160,150)",#C6A096,    
  2Y05 SP,"rgb(190,156,135)",#BE9C87,    
  3R06 SP,"rgb(194,151,135)",#C29787,    
  4R06 SP,"rgb(193,148,135)",#C19487,    
  3R05 SP,"rgb(195,154,141)",#C39A8D,    
  4R05 SP,"rgb(195,154,142)",#C39A8E,    
  5R05 SP,"rgb(195,153,144)",#C39990,    
  1Y04 SP,"rgb(194,163,142)",#C2A38E,    
  2Y04 SP,"rgb(195,162,143)",#C3A28F,    
  4Y04 SP,"rgb(194,164,141)",#C2A48D,    
  2R04 SP,"rgb(197,161,146)",#C5A192,    
  3R04 SP,"rgb(198,161,149)",#C6A195,    
  5R04 SP,"rgb(198,160,152)",#C6A098,    
  1R04 SP,"rgb(195,163,143)",#C3A38F,    
  3Y04 SP,"rgb(194,163,143)",#C2A38F,    
  1R02 SP,"rgb(199,168,150)",#C7A896,    
  1R03 SP,"rgb(199,166,148)",#C7A694,    
  1Y03 SP,"rgb(197,166,145)",#C5A691,    
  2R03 SP,"rgb(202,165,150)",#CAA596,    
  4Y02 SP,"rgb(199,169,146)",#C7A992,    
  4Y03 SP,"rgb(198,168,145)",#C6A891,    
  5Y02 SP,"rgb(197,169,145)",#C5A991,    
  5Y03 SP,"rgb(196,168,144)",#C4A890,    
  1Y01 SP,"rgb(200,172,153)",#C8AC99,    
  1Y02 SP,"rgb(200,169,149)",#C8A995,    
  2Y02 SP,"rgb(201,169,150)",#C9A996,    
  2Y03 SP,"rgb(200,167,147)",#C8A793,    
  3Y01 SP,"rgb(202,171,150)",#CAAB96,    
  3Y02 SP,"rgb(200,169,148)",#C8A994,    
  3Y03 SP,"rgb(199,167,146)",#C7A792,    
  4Y01 SP,"rgb(203,172,149)",#CBAC95,    
  5Y01 SP,"rgb(201,173,149)",#C9AD95,    
  2Y01 SP,"rgb(203,171,153)",#CBAB99,    
