  code            ,rgb             ,hex    ,name
  100 CP          ,"rgb(252,234,118)",#FCEA76,    
  101 CP          ,"rgb(252,232,95) ",#FCE85F,    
  102 CP          ,"rgb(254,229,0)  ",#FEE500,    
  103 CP          ,"rgb(208,188,0)  ",#D0BC00,    
  104 CP          ,"rgb(187,163,13) ",#BBA30D,    
  105 CP          ,"rgb(153,135,48) ",#998730,    
  106 CP          ,"rgb(252,232,93) ",#FCE85D,    
  107 CP          ,"rgb(253,231,36) ",#FDE724,    
  108 CP          ,"rgb(249,218,0)  ",#F9DA00,    
  109 CP          ,"rgb(248,213,0)  ",#F8D500,    
  110 CP          ,"rgb(219,178,22) ",#DBB216,    
  111 CP          ,"rgb(182,153,32) ",#B69920,    
  112 CP          ,"rgb(164,140,26) ",#A48C1A,    
  113 CP          ,"rgb(250,227,78) ",#FAE34E,    
  114 CP          ,"rgb(249,222,69) ",#F9DE45,    
  115 CP          ,"rgb(248,219,70) ",#F8DB46,    
  116 CP          ,"rgb(245,203,8)  ",#F5CB08,    
  117 CP          ,"rgb(205,163,31) ",#CDA31F,    
  118 CP          ,"rgb(180,143,31) ",#B48F1F,    
  119 CP          ,"rgb(147,127,32) ",#937F20,    
  120 CP          ,"rgb(247,221,118)",#F7DD76,    
  121 CP          ,"rgb(246,216,111)",#F6D86F,    
  122 CP          ,"rgb(245,210,88) ",#F5D258,    
  123 CP          ,"rgb(242,197,65) ",#F2C541,    
  124 CP          ,"rgb(237,178,32) ",#EDB220,    
  125 CP          ,"rgb(187,145,33) ",#BB9121,    
  126 CP          ,"rgb(167,134,29) ",#A7861D,    
  127 CP          ,"rgb(250,225,123)",#FAE17B,    
  128 CP          ,"rgb(248,217,98) ",#F8D962,    
  129 CP          ,"rgb(246,209,90) ",#F6D15A,    
  130 CP          ,"rgb(237,172,26) ",#EDAC1A,    
  131 CP          ,"rgb(208,148,31) ",#D0941F,    
  132 CP          ,"rgb(171,127,32) ",#AB7F20,    
  133 CP          ,"rgb(119,95,31)  ",#775F1F,    
  134 CP          ,"rgb(245,210,122)",#F5D27A,    
  135 CP          ,"rgb(241,193,92) ",#F1C15C,    
  136 CP          ,"rgb(239,182,70) ",#EFB646,    
  137 CP          ,"rgb(234,161,36) ",#EAA124,    
  138 CP          ,"rgb(230,140,40) ",#E68C28,    
  139 CP          ,"rgb(178,120,39) ",#B27827,    
  140 CP          ,"rgb(125,90,37)  ",#7D5A25,    
  141 CP          ,"rgb(245,205,102)",#F5CD66,    
  142 CP          ,"rgb(242,191,76) ",#F2BF4C,    
  143 CP          ,"rgb(240,179,54) ",#F0B336,    
  144 CP          ,"rgb(234,150,28) ",#EA961C,    
  145 CP          ,"rgb(208,137,33) ",#D08921,    
  146 CP          ,"rgb(169,118,32) ",#A97620,    
  147 CP          ,"rgb(120,100,40) ",#786428,    
  148 CP          ,"rgb(244,209,153)",#F4D199,    
  149 CP          ,"rgb(242,198,136)",#F2C688,    
  150 CP          ,"rgb(237,170,80) ",#EDAA50,    
  151 CP          ,"rgb(232,141,33) ",#E88D21,    
  152 CP          ,"rgb(230,133,35) ",#E68523,    
  153 CP          ,"rgb(193,119,35) ",#C17723,    
  154 CP          ,"rgb(157,97,32)  ",#9D6120,    
  155 CP          ,"rgb(245,215,165)",#F5D7A5,    
  156 CP          ,"rgb(241,195,130)",#F1C382,    
  157 CP          ,"rgb(235,163,68) ",#EBA344,    
