  code   ,rgb             ,hex    ,name
  871 C  ,"rgb(132,117,78) ",#84754E,    
  872 C  ,"rgb(133,113,77) ",#85714D,    
  873 C  ,"rgb(134,109,75) ",#866D4B,    
  874 C  ,"rgb(139,111,78) ",#8B6F4E,    
  875 C  ,"rgb(135,103,79) ",#87674F,    
  876 C  ,"rgb(139,99,75)  ",#8B634B,    
  877 C  ,"rgb(138,141,143)",#8A8D8F,    
  8001 C ,"rgb(140,139,137)",#8C8B89,    
  8002 C ,"rgb(139,132,124)",#8B847C,    
  8003 C ,"rgb(139,128,117)",#8B8075,    
  8004 C ,"rgb(137,122,105)",#897A69,    
  8005 C ,"rgb(135,113,90) ",#87715A,    
  8006 C ,"rgb(136,113,87) ",#887157,    
  8020 C ,"rgb(154,136,123)",#9A887B,    
  8021 C ,"rgb(159,129,112)",#9F8170,    
  8022 C ,"rgb(168,115,87) ",#A87357,    
  8023 C ,"rgb(170,100,67) ",#AA6443,    
  8024 C ,"rgb(173,91,47)  ",#AD5B2F,    
  8025 C ,"rgb(169,82,37)  ",#A95225,    
  8040 C ,"rgb(149,144,141)",#95908D,    
  8041 C ,"rgb(156,132,124)",#9C847C,    
  8042 C ,"rgb(158,123,113)",#9E7B71,    
  8043 C ,"rgb(165,110,96) ",#A56E60,    
  8044 C ,"rgb(165,95,73)  ",#A55F49,    
  8045 C ,"rgb(162,88,64)  ",#A25840,    
  8060 C ,"rgb(153,133,141)",#99858D,    
  8061 C ,"rgb(155,121,131)",#9B7983,    
  8062 C ,"rgb(159,109,121)",#9F6D79,    
  8063 C ,"rgb(164,95,108) ",#A45F6C,    
  8064 C ,"rgb(161,91,98)  ",#A15B62,    
  8065 C ,"rgb(157,84,86)  ",#9D5456,    
  8080 C ,"rgb(149,136,150)",#958896,    
  8081 C ,"rgb(154,113,143)",#9A718F,    
  8082 C ,"rgb(156,98,139) ",#9C628B,    
  8083 C ,"rgb(160,78,133) ",#A04E85,    
  8084 C ,"rgb(163,59,116) ",#A33B74,    
  8085 C ,"rgb(161,46,100) ",#A12E64,    
  8100 C ,"rgb(147,126,150)",#937E96,    
  8101 C ,"rgb(146,109,147)",#926D93,    
  8102 C ,"rgb(146,95,144) ",#925F90,    
  8103 C ,"rgb(145,75,139) ",#914B8B,    
  8104 C ,"rgb(149,57,125) ",#95397D,    
  8105 C ,"rgb(143,44,106) ",#8F2C6A,    
  8120 C ,"rgb(144,136,152)",#908898,    
  8121 C ,"rgb(141,125,150)",#8D7D96,    
  8122 C ,"rgb(137,108,147)",#896C93,    
  8123 C ,"rgb(138,90,148) ",#8A5A94,    
  8124 C ,"rgb(139,76,132) ",#8B4C84,    
  8125 C ,"rgb(134,69,118) ",#864576,    
  8140 C ,"rgb(135,124,151)",#877C97,    
  8141 C ,"rgb(128,112,150)",#807096,    
  8142 C ,"rgb(122,95,151) ",#7A5F97,    
  8143 C ,"rgb(112,78,148) ",#704E94,    
  8144 C ,"rgb(116,79,131) ",#744F83,    
  8145 C ,"rgb(110,70,117) ",#6E4675,    
  8160 C ,"rgb(138,139,153)",#8A8B99,    
  8161 C ,"rgb(128,127,153)",#807F99,    
  8162 C ,"rgb(105,99,153) ",#696399,    
  8163 C ,"rgb(94,84,155)  ",#5E549B,    
  8164 C ,"rgb(90,75,145)  ",#5A4B91,    
  8165 C ,"rgb(84,66,136)  ",#544288,    
  8180 C ,"rgb(135,144,154)",#87909A,    
  8181 C ,"rgb(106,127,157)",#6A7F9D,    
  8182 C ,"rgb(83,114,159) ",#53729F,    
  8183 C ,"rgb(59,100,161) ",#3B64A1,    
  8184 C ,"rgb(41,87,146)  ",#295792,    
  8185 C ,"rgb(39,78,131)  ",#274E83,    
  8200 C ,"rgb(121,143,155)",#798F9B,    
  8201 C ,"rgb(103,137,156)",#67899C,    
  8202 C ,"rgb(81,130,158) ",#51829E,    
  8203 C ,"rgb(44,122,161) ",#2C7AA1,    
  8204 C ,"rgb(58,118,142) ",#3A768E,    
  8205 C ,"rgb(54,110,130) ",#366E82,    
  8220 C ,"rgb(117,143,154)",#758F9A,    
  8221 C ,"rgb(99,140,157) ",#638C9D,    
  8222 C ,"rgb(72,137,161) ",#4889A1,    
  8223 C ,"rgb(35,130,161) ",#2382A1,    
  8224 C ,"rgb(0,119,142)  ",#00778E,    
  8225 C ,"rgb(0,109,126)  ",#006D7E,    
  8240 C ,"rgb(134,147,151)",#869397,    
  8241 C ,"rgb(102,142,152)",#668E98,    
  8242 C ,"rgb(78,140,154) ",#4E8C9A,    
  8243 C ,"rgb(43,135,153) ",#2B8799,    
  8244 C ,"rgb(59,128,132) ",#3B8084,    
  8245 C ,"rgb(54,122,123) ",#367A7B,    
  8260 C ,"rgb(121,144,147)",#799093,    
  8261 C ,"rgb(106,142,145)",#6A8E91,    
  8262 C ,"rgb(82,137,140) ",#52898C,    
  8263 C ,"rgb(49,132,134) ",#318486,    
  8264 C ,"rgb(41,121,116) ",#297974,    
  8265 C ,"rgb(24,110,100) ",#186E64,    
  8280 C ,"rgb(127,150,149)",#7F9695,    
  8281 C ,"rgb(112,149,146)",#709592,    
  8282 C ,"rgb(94,149,143) ",#5E958F,    
  8283 C ,"rgb(65,151,141) ",#41978D,    
  8284 C ,"rgb(83,142,125) ",#538E7D,    
  8285 C ,"rgb(76,139,114) ",#4C8B72,    
  8300 C ,"rgb(131,150,140)",#83968C,    
  8301 C ,"rgb(118,150,132)",#769684,    
  8302 C ,"rgb(104,151,124)",#68977C,    
  8303 C ,"rgb(85,150,112) ",#559670,    
  8304 C ,"rgb(95,141,102) ",#5F8D66,    
  8305 C ,"rgb(90,134,89)  ",#5A8659,    
  8320 C ,"rgb(141,149,141)",#8D958D,    
  8321 C ,"rgb(130,151,120)",#829778,    
  8322 C ,"rgb(122,152,108)",#7A986C,    
  8323 C ,"rgb(108,153,90) ",#6C995A,    
  8324 C ,"rgb(119,149,87) ",#779557,    
  8325 C ,"rgb(114,140,73) ",#728C49,    
  8340 C ,"rgb(143,150,125)",#8F967D,    
  8341 C ,"rgb(141,151,112)",#8D9770,    
  8342 C ,"rgb(140,155,96) ",#8C9B60,    
  8343 C ,"rgb(135,155,78) ",#879B4E,    
  8344 C ,"rgb(133,149,52) ",#859534,    
  8345 C ,"rgb(131,142,37) ",#838E25,    
  8360 C ,"rgb(149,151,120)",#959778,    
  8361 C ,"rgb(152,152,105)",#989869,    
  8362 C ,"rgb(157,154,88) ",#9D9A58,    
  8363 C ,"rgb(164,156,65) ",#A49C41,    
  8364 C ,"rgb(161,147,65) ",#A19341,    
  8365 C ,"rgb(162,142,53) ",#A28E35,    
  8380 C ,"rgb(148,147,135)",#949387,    
  8381 C ,"rgb(151,146,121)",#979279,    
  8382 C ,"rgb(156,143,105)",#9C8F69,    
  8383 C ,"rgb(162,141,91) ",#A28D5B,    
