  code ,rgb             ,hex    ,name
  801 C,"rgb(0,154,206)  ",#009ACE,    
  802 C,"rgb(68,214,44)  ",#44D62C,    
  803 C,"rgb(255,233,0)  ",#FFE900,    
  804 C,"rgb(255,170,77) ",#FFAA4D,    
  805 C,"rgb(255,114,118)",#FF7276,    
  806 C,"rgb(255,62,181) ",#FF3EB5,    
  807 C,"rgb(234,39,194) ",#EA27C2,    
  808 C,"rgb(0,183,150)  ",#00B796,    
  809 C,"rgb(227,232,41) ",#E3E829,    
  810 C,"rgb(255,214,53) ",#FFD635,    
  811 C,"rgb(255,143,108)",#FF8F6C,    
  812 C,"rgb(255,95,162) ",#FF5FA2,    
  813 C,"rgb(251,72,196) ",#FB48C4,    
  814 C,"rgb(138,105,212)",#8A69D4,    
  901 C,"rgb(0,170,218)  ",#00AADA,    
  902 C,"rgb(141,233,113)",#8DE971,    
  903 C,"rgb(255,243,109)",#FFF36D,    
  904 C,"rgb(255,205,138)",#FFCD8A,    
  905 C,"rgb(255,157,167)",#FF9DA7,    
  906 C,"rgb(255,124,214)",#FF7CD6,    
  907 C,"rgb(244,105,219)",#F469DB,    
  908 C,"rgb(0,175,219)  ",#00AFDB,    
  909 C,"rgb(169,238,138)",#A9EE8A,    
  910 C,"rgb(253,243,138)",#FDF38A,    
  911 C,"rgb(255,217,164)",#FFD9A4,    
  912 C,"rgb(255,172,182)",#FFACB6,    
  913 C,"rgb(255,146,218)",#FF92DA,    
  914 C,"rgb(245,127,224)",#F57FE0,    
  915 C,"rgb(0,188,227)  ",#00BCE3,    
  916 C,"rgb(185,239,163)",#B9EFA3,    
  917 C,"rgb(247,244,162)",#F7F4A2,    
  918 C,"rgb(255,223,180)",#FFDFB4,    
  919 C,"rgb(255,192,200)",#FFC0C8,    
  920 C,"rgb(255,173,227)",#FFADE3,    
  921 C,"rgb(248,163,230)",#F8A3E6,    
  922 C,"rgb(0,192,163)  ",#00C0A3,    
  923 C,"rgb(236,241,102)",#ECF166,    
  924 C,"rgb(255,230,113)",#FFE671,    
  925 C,"rgb(255,173,147)",#FFAD93,    
  926 C,"rgb(255,133,189)",#FF85BD,    
  927 C,"rgb(252,118,217)",#FC76D9,    
  928 C,"rgb(153,122,219)",#997ADB,    
  929 C,"rgb(43,201,175) ",#2BC9AF,    
  930 C,"rgb(238,243,134)",#EEF386,    
  931 C,"rgb(255,233,131)",#FFE983,    
  932 C,"rgb(255,187,164)",#FFBBA4,    
  933 C,"rgb(255,155,203)",#FF9BCB,    
  934 C,"rgb(252,141,224)",#FC8DE0,    
  935 C,"rgb(171,146,225)",#AB92E1,    
  936 C,"rgb(109,213,195)",#6DD5C3,    
  937 C,"rgb(239,244,164)",#EFF4A4,    
  938 C,"rgb(252,238,168)",#FCEEA8,    
  939 C,"rgb(255,207,190)",#FFCFBE,    
  940 C,"rgb(255,182,217)",#FFB6D9,    
  941 C,"rgb(252,169,230)",#FCA9E6,    
  942 C,"rgb(192,174,231)",#C0AEE7,    
