  code  ,rgb             ,hex    ,name
  9020 C,"rgb(238,238,200)",#EEEEC8,    
  9021 C,"rgb(241,231,228)",#F1E7E4,    
  9022 C,"rgb(240,231,233)",#F0E7E9,    
  9023 C,"rgb(234,227,234)",#EAE3EA,    
  9040 C,"rgb(220,235,236)",#DCEBEC,    
  9041 C,"rgb(223,236,228)",#DFECE4,    
  9042 C,"rgb(227,232,227)",#E3E8E3,    
  9043 C,"rgb(232,230,223)",#E8E6DF,    
  9044 C,"rgb(201,226,224)",#C9E2E0,    
  9045 C,"rgb(200,222,218)",#C8DEDA,    
  9060 C,"rgb(241,240,216)",#F1F0D8,    
  9061 C,"rgb(242,233,234)",#F2E9EA,    
  9062 C,"rgb(230,238,236)",#E6EEEC,    
  9063 C,"rgb(231,239,231)",#E7EFE7,    
  9064 C,"rgb(241,241,222)",#F1F1DE,    
  9080 C,"rgb(228,226,219)",#E4E2DB,    
  9081 C,"rgb(223,220,212)",#DFDCD4,    
  9082 C,"rgb(210,205,195)",#D2CDC3,    
  9083 C,"rgb(204,200,191)",#CCC8BF,    
  9084 C,"rgb(173,167,158)",#ADA79E,    
  9100 C,"rgb(231,231,224)",#E7E7E0,    
  9101 C,"rgb(227,227,221)",#E3E3DD,    
  9102 C,"rgb(217,219,213)",#D9DBD5,    
  9103 C,"rgb(213,216,210)",#D5D8D2,    
  9120 C,"rgb(241,239,183)",#F1EFB7,    
  9121 C,"rgb(241,240,176)",#F1F0B0,    
  9122 C,"rgb(228,226,183)",#E4E2B7,    
  9123 C,"rgb(220,217,185)",#DCD9B9,    
  9140 C,"rgb(242,238,202)",#F2EECA,    
  9141 C,"rgb(242,237,192)",#F2EDC0,    
  9142 C,"rgb(233,228,197)",#E9E4C5,    
  9143 C,"rgb(227,223,195)",#E3DFC3,    
  9160 C,"rgb(244,229,192)",#F4E5C0,    
  9161 C,"rgb(231,219,185)",#E7DBB9,    
  9162 C,"rgb(226,217,194)",#E2D9C2,    
  9163 C,"rgb(216,207,185)",#D8CFB9,    
  9180 C,"rgb(243,228,205)",#F3E4CD,    
  9181 C,"rgb(244,227,201)",#F4E3C9,    
  9182 C,"rgb(236,220,200)",#ECDCC8,    
  9183 C,"rgb(229,215,197)",#E5D7C5,    
  9184 C,"rgb(239,228,206)",#EFE4CE,    
  9185 C,"rgb(237,225,207)",#EDE1CF,    
  9186 C,"rgb(225,211,196)",#E1D3C4,    
  9200 C,"rgb(245,225,204)",#F5E1CC,    
  9201 C,"rgb(245,227,204)",#F5E3CC,    
  9202 C,"rgb(237,222,205)",#EDDECD,    
  9203 C,"rgb(228,213,196)",#E4D5C4,    
  9220 C,"rgb(245,224,207)",#F5E0CF,    
  9221 C,"rgb(237,214,196)",#EDD6C4,    
  9222 C,"rgb(230,213,200)",#E6D5C8,    
  9223 C,"rgb(225,211,199)",#E1D3C7,    
  9224 C,"rgb(242,233,219)",#F2E9DB,    
  9225 C,"rgb(240,230,216)",#F0E6D8,    
  9226 C,"rgb(235,227,215)",#EBE3D7,    
  9240 C,"rgb(244,229,222)",#F4E5DE,    
  9241 C,"rgb(240,221,215)",#F0DDD7,    
  9242 C,"rgb(233,213,205)",#E9D5CD,    
  9243 C,"rgb(225,206,198)",#E1CEC6,    
  9244 C,"rgb(243,233,226)",#F3E9E2,    
  9260 C,"rgb(245,222,218)",#F5DEDA,    
